fac_id,fac_name,state,latitude,longitude,naics,naics_3digits,sub_sector,sector,fuel_type,co2_emissions_2010,co2_emissions_2011,co2_emissions_2012,co2_emissions_2013,co2_emissions_2014,co2_emissions_2015,co2_emissions_2016,co2_emissions_2017,co2_emissions_2018,co2_emissions_2019,co2_emissions_2020,capture_cost,total_capture_cost,45Q_credit_incentive,eco_opportunity,business_opportunity
1000112,23rd and 3rd,NY,40.66,-74.0,221112,221,Utilities,Power Plants,Natural Gas,82875.9,100489.9,68914.6,102495.1,40681.1,67331.3,66729.4,52645.5,70633.5,44612.9,60751.2,130,7897656.0,3037560.0,4860096.0,Forget it
1007698,3M CO - WAUSAU DOWNTOWN,WI,44.95,-89.64,212313,212,Mining (except oil and gas),Other,Natural Gas,26021.7,28359.5,27673.8,29399.4,26639.6,22903.1,36536.3,42577.1,40385.4,45378.1,46851.2,150,7027680.0,2342560.0,4685120.0,Forget it
1004206,3M COMPANY,AL,34.64,-87.04,325211,325,Chemical manufacturing,"Chemicals,Industrial Gas Suppliers",Natural Gas,50894.3,57210.1,54327.5,54842.0,49952.3,44678.0,44605.6,44688.5,46293.6,44949.3,42016.6,30,1260498.0,2100830.0,-840332.0,Forget it
1006665,3M CORDOVA,IL,41.76,-90.28,325998,325,Chemical manufacturing,"Chemicals,Industrial Gas Suppliers",Petroleum Products,28957.7,29857.8,28254.2,30588.6,32066.3,28764.3,27459.5,27969.9,29758.8,30191.8,28548.5,30,856455.0,1427425.0,-570970.0,Forget it
1004836,3M Cottage Grove Center - Site,MN,44.79,-92.91,325998,325,Chemical manufacturing,"Chemicals,Industrial Gas Suppliers,Minerals",Natural Gas,44423.2,51356.1,35395.4,35131.5,35173.0,30613.9,30443.8,28925.7,31053.7,28598.2,32804.8,30,984144.0000000001,1640240.0000000002,-656096.0000000001,Forget it
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,34.71,-92.24,212399,212,Mining (except oil and gas),Other,Natural Gas,28163.0,22868.0,21284.3,28049.7,31156.6,24844.6,30614.3,29665.2,25515.3,30593.9,33689.5,150,5053425.0,1684475.0,3368950.0,Forget it
1000766,59th Street,NY,40.77,-73.99,221330,221,Utilities,Power Plants,Natural Gas,270998.8,264797.5,198598.5,206581.9,262368.5,238463.3,232611.4,218623.9,260083.1,224650.0,149813.6,130,19475768.0,7490680.0,11985088.0,Too discuss
1007733,69TH ST WWTP,TX,29.76,-95.3,221320,221,Utilities,Other,Natural Gas,27185.6,25901.5,26794.9,26901.8,27156.3,26368.2,22339.8,22684.4,21811.6,24176.5,21708.2,130,2822066.0,1085410.0,1736656.0,Forget it
1000767,74th Street,NY,40.77,-73.95,221330,221,Utilities,Power Plants,Natural Gas,386312.1,296057.2,147822.8,225567.4,272615.6,254660.5,205456.9,194719.5,270459.4,254098.8,174717.2,130,22713236.0,8735860.0,13977376.0,Too discuss
1007514,ABBVIE LTD.,PR,18.43,-66.57,325412,325,Chemical manufacturing,Chemicals,Natural Gas,116917.8,116231.8,109738.2,105997.0,97999.0,95237.9,85198.4,81829.7,85769.5,86701.3,64300.0,30,1929000.0,3215000.0,-1286000.0,Forget it
