Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1004377,121 REGIONAL DISPOSAL FACILITY,TX,33.29857,-96.53586,562212,Waste,0.0,0.0
1000112,23rd and 3rd,NY,40.663,-74.0,221112,Power Plants,82959.74,82875.9
1006394,29-6 #2 Central Delivery Point,NM,36.7452,-107.4455,213112,Petroleum and Natural Gas Systems,25176.66,25150.9
1002885,30-5 Central Delivery Point Compressor Station,NM,36.8118,-107.4036,213112,Petroleum and Natural Gas Systems,38883.2,38843.2
1002707,31-6 Central Delivery Point,NM,36.8363,-107.4199,213112,Petroleum and Natural Gas Systems,63884.36,63818.6
1002718,32-7 Central Delivery Point,NM,36.9313,-107.5604,213112,Petroleum and Natural Gas Systems,56478.59,56420.5
1002721,32-8 #2 CDP COMPRESSOR STATION,NM,36.9569,-107.6631,213112,Petroleum and Natural Gas Systems,55075.09,55018.1
1003188,3M BROWNWOOD,TX,31.671177,-98.996513,326113,Minerals,36879.41,36841.6
1005043,3M CO,MN,44.951,-92.9959,541712,Other,75803.06,75737.3
1003739,3M CO - GUIN,AL,33.96672,-87.899855,326113,Minerals,28750.0,28721.5
1007698,3M CO - WAUSAU DOWNTOWN,WI,44.95018,-89.63766,212313,Other,26048.55,26021.7
1004206,3M COMPANY,AL,34.641667,-87.038611,325211,"Industrial Gas Suppliers,Other",50947.46,50894.3
1006665,3M CORDOVA,IL,41.755,-90.284167,325998,"Chemicals,Industrial Gas Suppliers",28987.89,28957.7
1004836,3M Cottage Grove Center - Site,MN,44.789444,-92.908333,325998,"Industrial Gas Suppliers,Minerals",44522.61,44423.2
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,34.708919,-92.239492,333120,Other,28192.04,28163.0
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,MN,44.879677,-94.359598,322222,Pulp and Paper,40697.0,40654.8
1004804,3M NEVADA PLANT,MO,37.83442,-94.330397,326113,Other,29570.99,29540.3
1001106,48th Street Peaking Station,MI,42.7553,-86.0853,221112,Power Plants,20080.08,20059.8
1000766,59th Street,NY,40.7711,-73.9911,221330,Power Plants,271673.92,270998.8
1007733,69TH ST WWTP,TX,29.75579,-95.29791,221320,Other,27213.55,27185.6
1000767,74th Street,NY,40.768,-73.9515,221330,Power Plants,387617.23,386312.1
1001033,A B Brown Generating Station,IN,37.9053,-87.715,221112,Power Plants,2188497.22,2171148.9
1001607,A B Paterson,LA,30.0158,-90.0258,221112,Power Plants,0.0,0.0
1005445,AAP ST MARYS CORP,OH,40.55359,-84.3723,336399,Other,27551.3,27522.8
1002853,ABBOTT NUTRITION,MI,41.8095,-85.426,311514,Other,27764.02,27694.2
1002983,ABBOTT PARK FACILITY,IL,42.30227,-87.89065,325412,Chemicals,105472.71,104824.4
1007514,ABBVIE LTD.,PR,18.433237,-66.570509,325411,Chemicals,117314.53,116917.8
1004511,ABC COKE,AL,33.580769,-86.781281,331111,Metals,208846.0,208821.0
1002047,"ABE South Dakota, LLC - Aberdeen",SD,45.459444,-98.5325,325193,Other,79648.24,79564.9
1002074,"ABE South Dakota, LLC - Huron",SD,44.374508,-98.253288,325193,Other,4568.73,4563.8
1005353,ABERDEEN ENERGY LLC,SD,45.442417,-98.787139,325193,Other,155379.76,155219.2
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,MD,39.3954,-76.30773,928110,Other,54666.7,54571.6
1003091,ABRAHAM COMPRESSOR STATION,TX,35.757778,-100.486433,211111,Petroleum and Natural Gas Systems,29516.79,29486.1
1002627,ABSOLUTE ENERGY LLC,IA,43.49951,-92.91709,325193,Other,166627.56,166452.1
1002685,AC 857 A,TX,26.29555555,-94.89777777,211111,Petroleum and Natural Gas Systems,54024.55,53920.4
1004830,ACE Cogeneration Company,CA,35.7655,-117.3821,221112,Power Plants,783183.55,775640.0
1004761,ACE ETHANOL LLC,WI,44.9589,-90.9608,325193,"Other,Suppliers of CO2",71980.03,71905.5
1005601,ACME BRICK CO ELGIN PLANT,TX,30.32903,-97.29207,327121,Minerals,27547.0,27547.0
1005046,ACME GYPSUM FACILITY,TX,34.323944,-99.818194,327420,Minerals,28163.04,28134.0
1002731,ADA COGENERATION,MI,42.955455,-85.479053,221112,Power Plants,110926.43,110811.9
1003422,ADKINS ENERGY LLC,IL,42.3586,-89.80342,325193,Other,67146.3,67076.7
1002154,ADM - MANKATO,MN,44.186805,-93.995493,311225,Other,132818.33,131919.0
1006047,ADM CORN PROCESSING,IA,41.928594,-91.687203,311221,"Other,Suppliers of CO2",3078133.06,3058765.0
1006208,ADM CORN PROCESSING,IA,41.818117,-90.214731,311221,Other,1510150.89,1494640.0
1001867,ADM CORN PROCESSING,ND,48.910797,-97.888743,325193,Other,85646.97,85153.7
1000034,ADM MILLING COMPANY,IA,41.626329,-93.583205,311222,Other,141764.54,140755.2
1000376,ADM QUINCY,IL,39.90565,-91.41015,311222,Other,186738.51,185445.0
1006080,ADM SOUTHERN CELLULOSE PROD.IN,TN,34.997921,-85.318581,322110,Pulp and Paper,28791.59,28762.0
1001991,ADRIAN LANDFILL,MI,41.890683,-83.992445,562212,Waste,75991.0,36.0
1002094,ADS/MCLEAN COUNTY LANDFILL,IL,40.47046,-89.0377,562212,Waste,17136.3,13.8
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WI,44.4093,-89.854855,562212,Waste,25777.95,28.7
1007212,ADVANCED DISPOSAL EMERALD PARK LANDFILL LLC,WI,42.849682,-88.07639,562212,Waste,61854.1,32.1
1007195,ADVANCED DISPOSAL GLACIER RIDGE LANDFILL LLC,WI,43.45953,-88.55413,562212,Waste,43495.48,6.9
1001847,"ADVANCED DISPOSAL HICKORY MEADOWS LANDFILL, LLC",WI,44.107451,-88.194894,562212,Waste,53864.2,11.7
1002038,"ADVANCED DISPOSAL MALLARD RIDGE LANDFILL, INC",WI,42.643578,-88.717968,562212,Waste,76381.1,11.1
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MO,39.7318,-92.53866,562212,Waste,95655.0,78.5
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,IL,42.14,-89.085,562212,Waste,186317.8,57.8
1001843,ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,MN,45.24949,-93.87488,562212,Waste,21003.85,11.1
1006964,ADVANCED DISPOSAL SEVEN MILE CREEK LANDFILL LLC,WI,44.837534,-91.367144,562212,Waste,47853.7,26.2
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,IL,39.822232,-89.043692,562212,Waste,51653.7,46.2
1005985,ADVANCED DISPOSAL ZION LANDFILL,IL,42.483242,-87.873878,562212,Waste,74118.6,80.1
1000627,ADVANSIX INC - CHESTERFIELD PLANT,VA,37.33963,-77.2884,325211,Other,44297.47,44248.3
1000630,ADVANSIX INCORPORATED - HOPEWELL,VA,37.3016,-77.2719,325199,"Chemicals,Suppliers of CO2",1071582.2,1070764.0
1005310,AES - PUERTO RICO COGENERATION PLANT,PR,17.9451,-66.1503,221112,Power Plants,3284053.38,3257223.9
1001444,AES Alamitos,CA,33.7688,-118.1009,221112,Power Plants,540112.6,539564.6
1001222,AES Beaver Valley LLC,PA,40.6558,-80.3556,221112,Power Plants,1201389.79,1191567.0
1000281,"AES Deepwater, Inc.",TX,29.7192,-95.2278,221119,Power Plants,610810.95,606111.1
1005972,AES HAWAII INC,HI,21.301222,-158.107306,221112,Power Plants,1525932.5,1514070.5
1001447,AES Huntington Beach,CA,33.6436,-117.9788,221112,Power Plants,572232.33,571650.9
1001450,AES Redondo Beach,CA,33.8504,-118.395,221112,Power Plants,93265.7,93170.9
1007781,"AES SHADY POINT, LLC",OK,35.1929,-94.6469,221112,"Power Plants,Suppliers of CO2",3466523.82,3444292.3
1001221,AES Thames,CT,41.4282,-72.1005,221112,Power Plants,1456434.71,1448617.6
1001223,AES Warrior Run,MD,39.5944,-78.7456,221112,"Power Plants,Suppliers of CO2",1426541.52,1415104.9
1008008,"AES Western Power, LLC",TX,29.7239,-95.2258,221112,Power Plants,0.0,0.0
1003853,AFTON CHEMICAL CORP,IL,38.6026,-90.16734,324191,Petroleum and Natural Gas Systems,43235.54,43190.9
1007551,AG Energy,NY,44.7258,-75.4417,221112,Power Plants,9711.9,9711.9
1006054,AG PROCESSING INC-EAGLE GROVE,IA,42.669167,-93.904444,311222,Other,167119.05,165850.8
1002291,AG PROCESSING INCORPORATED A COOPERATIVE,MN,44.93505,-96.05722,311222,Other,25711.4,25684.5
1007333,AGC FLAT GLASS N AMERICA INC,KY,37.70034,-84.26929,327211,Minerals,29466.3,29466.3
1004631,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,KS,38.759188,-94.825252,327211,Minerals,100283.08,100208.0
1004472,AGC FLATGLASS NORTH AMERICA-KINGSPORT PLANT,TN,36.52899,-82.547651,327211,Minerals,45428.91,45391.1
1005824,AGC-GREENLAND FLATGLASS PLANT,TN,36.497,-82.77946,327211,Minerals,94350.15,94281.1
1002067,AGP SOY/CORN PROCESSING,NE,40.58971,-98.33974,311222,Other,274498.64,272738.1
1005284,AGRI ENERGY LLC,MN,43.648333,-96.224444,325199,Chemicals,39678.5,39637.4
1006743,AGRIFOS FERTILIZER PASADENA,TX,29.736528,-95.198139,325312,Chemicals,49375.13,49370.2
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,TX,35.6417,-101.4228,325311,"Chemicals,Suppliers of CO2",841955.43,841593.0
1001154,AGRIUM US INC,ID,42.739417,-111.541421,325312,Chemicals,104573.53,104486.4
1004236,AGRIUM US INC - KFO,WA,46.165957,-119.017218,325311,Chemicals,78413.78,6712.0
1004374,AGY LLC,SC,33.5472,-81.67341,327212,Minerals,12832.52,12823.2
1006430,"AIR LIQUID LARGE INDUSTRIES US, LP",CA,33.916355,-118.418634,325120,Chemicals,633986.5,633986.5
1003724,AIR LIQUIDE - CORPUS CHRISTI SMR,TX,27.813911,-97.472347,325120,Chemicals,398986.39,398805.0
1003730,AIR LIQUIDE - FREEPORT HYCO PLANT,TX,28.98037,-95.38396,325120,Chemicals,66892.56,66880.5
1003780,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,TX,29.981116,-93.952389,325120,Chemicals,191411.43,191213.3
1003910,AIR LIQUIDE AMERICA CORP,TX,32.4478,-94.6875,325120,Chemicals,372637.0,372637.0
1006115,AIR LIQUIDE AMERICA CORP.,LA,30.21023,-90.99085,325120,Chemicals,422530.06,422093.3
1003591,AIR LIQUIDE GEISMAR UTILITY SERVICES,LA,30.21023,-90.99085,221330,Power Plants,73774.07,73697.9
1003748,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,CA,38.047952,-122.256895,325120,Chemicals,598413.4,598413.4
1003013,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,LA,30.237363,-93.285908,325120,Chemicals,723018.0,723018.0
1002754,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,LA,30.10817,-90.88404,325120,Chemicals,698955.0,698955.0
1002698,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,LA,30.183808,-90.9876,325120,"Chemicals,Suppliers of CO2",59183.0,59183.0
1003009,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,LA,30.029033,-89.900517,325120,"Chemicals,Suppliers of CO2",313434.22,313426.0
1002121,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,CA,38.026667,-122.067222,325120,Chemicals,810408.2,810408.2
1002122,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,38.026667,-122.067222,325120,Chemicals,250407.56,250395.6
1005809,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,KY,38.384444,-82.598528,325120,Chemicals,256244.3,256244.3
1002727,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,LA,30.075832,-90.624885,325120,Chemicals,859226.0,859226.0
1002123,AIR PRODUCTS AND CHEMICALS INCORPORATED,CA,38.529722,-121.398889,325120,Chemicals,47124.4,47124.4
1002430,AIR PRODUCTS BAYTOWN PLANT,TX,29.757778,-95.023056,325120,Chemicals,521749.82,521699.4
1002257,AIR PRODUCTS CARSON HYDROGEN PLANT,CA,33.812778,-118.231389,325120,Chemicals,620797.9,620797.9
1003010,AIR PRODUCTS CHEMICALS INC,LA,30.20578,-90.99383,325120,Chemicals,32028.0,32028.0
1000341,AIR PRODUCTS MANUFACTURING CORP STOCKTON COGEN,CA,37.913056,-121.261944,221112,Power Plants,428958.74,424527.5
1002435,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,CA,33.780833,-118.241111,325120,Chemicals,677726.7,677726.7
1001919,"AJINOMOTO HEARTLAND, INC.",IA,41.143573,-92.647934,311119,Other,111819.43,111703.8
1003418,AK STEEL,OH,39.96136,-82.00034,331111,Metals,37257.46,37219.1
1003417,AK STEEL CORP *,OH,40.20669,-81.88549,331221,Metals,49328.46,49277.5
1005614,AK STEEL CORP ASHLAND WORKS COKE PLANT,KY,38.495556,-82.665556,331111,Metals,212764.17,212536.8
1006530,AK STEEL CORP MANSFIELD WORKS,OH,40.78449,-82.52327,331111,Metals,75952.8,75898.0
1002903,AK STEEL CORP/BUTLER WORKS,PA,40.82926,-79.94273,331111,Metals,299083.56,298866.0
1000214,AK STEEL CORPORATION,IN,37.9849,-87.0259,331111,Metals,149961.48,149806.4
1003403,AK STEEL DEARBORN WORKS,MI,42.301742,-83.162934,331111,Metals,1533876.5,1533426.0
1000274,AK Steel Corporation - Middletown,OH,39.4968,-84.3901,331111,Metals,4493621.13,4491777.1
