State,State abbreviations,2016,2017,2018,2019,2020
Alabama,AL ,140,122,91,56,24
Alaska,AK,14,20,41,31,38
Arizona,AZ,53,42,31,18,24
Arkansas,AR,648,455,346,256,75
California,CA,839,760,653,504,210
Colorado,CO,250,143,103,31,32
Connecticut,CT,33,25,22,21,9
Delaware,DE,41,71,25,41,18
District of Columbia,DC,0,0,0,0,0
Florida,FL,65,57,55,36,18
Georgia,GA,192,165,176,161,54
Hawaii,HI,18,12,16,13,19
Idaho,ID,127,79,65,34,25
Illinois,IL,36,32,63,80,98
Indiana,IN,46,46,58,52,45
Iowa,IA,149,187,243,110,128
Kansas,KS,112,93,57,32,40
Kentucky,KY,90,122,84,70,62
Louisiana,LA,65,76,59,52,24
Maine,ME,43,43,37,40,41
Maryland,MD,67,45,64,75,21
Massachusetts,MA,35,45,47,30,30
Michigan,MI,61,33,53,61,57
Minnesota,MN,91,71,143,130,150
Mississippi,MS,599,380,477,249,29
Missouri,MO ,538,330,189,182,85
Montana,MT,89,74,81,33,28
Nebraska,NE,196,200,201,123,49
Nevada,NV,16,20,39,7,4
New Hampshire,NH,39,40,33,25,22
New Jersey,NJ,31,39,20,15,8
New Mexico,NM,27,37,17,12,20
New York,NY,67,50,60,71,54
North Carolina,NC,161,157,140,107,67
North Dakota,ND,23,16,25,18,19
Ohio,OH,132,117,51,46,47
Oklahoma,OK,80,47,19,7,5
Oregon,OR,161,116,64,43,35
Pennsylvania,PA,75,50,54,55,38
Rhode Island,RI,10,11,15,16,12
South Carolina,SC,78,96,143,46,20
South Dakota,SD,32,14,26,17,24
Tennessee,TN,60,29,32,61,35
Texas,TX,176,185,172,115,44
Utah,UT,108,48,32,16,17
Vermont,VT,35,22,23,27,22
Virginia,VA,49,35,36,33,32
Washington,WA,128,98,88,69,59
West Virginia,WV,49,70,48,48,34
Wisconsin,WI,80,93,76,96,60
Wyoming,WY,21,45,41,13,8
