Color by,Project Name,State Name,Type Name,Latitude,Longitude,Combustion / Separation,Company,Country Name,DOE Support,If State,Location,Other,Plant,Plant Status,Project Date,Project ID,Project Link,Regional Partnership,Status Detail Name,Status Name,Technology Name,Type,Unit Base Name 1,1,2,3,4,5,Icon Size,Major Injection Amount
Storage,SECARB Development Phase -Cranfield Project,Mississippi,Storage,31.589822,-91.154311,,Southern States Energy Board,United States,DOE Supported,", Mississippi",Adams County,The project injected CO2 (through 23 injection wells) into the stacked storage regime within the Tuscaloosa formation at the Cranfield Site.,Jackson Dome,Existing,4/1/2009,151,http://www.netl.doe.gov/publications/factsheets/project/NT42590.pdf,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"4,743,898"
Storage,"Characterization of the Miocene and Pliocene Formations in the Wilmington Graben, Offshore Los Angeles, for Large Scale Geologic Storage of CO2",California,Storage,33.592869,-118.174017,,GeoMechanics Technologies,United States,DOE Supported,", California",offshore Los Angeles,"Geologic storage potential study in the Wilmington Graben, offshore LA Basin.",,,12/8/2009,276,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/10--Michael-Bruno.pdf,FALSE,,Completed,,Storage,,1,2,3,4,5,1,
Capture & Storage,Century Plant Gas Processing,Texas,Capture & Storage,30.808782,-102.617342,Pre-Combustion,Occidental Petroleum,United States,Other Support,", Texas",Pecos County,"Occidental Petroleum signed an agreement with SandRidge Energy in 2008 to develop the gas processing plant and related pipeline infrastructure. The first train came online in late 2010, and the second train is due to be operational by 2012.",Century Gas Processing Plant,Existing,10/8/2010,144,http://www.zeroco2.no/projects/century-plant,FALSE,Plant in Operation,Active,,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,"23,016"
Capture,Great River Energy,North Dakota,Capture,47.37694168,-101.1572266,Post-Combustion,EPRI - Electric Power Research Institute,United States,Other Support,", North Dakota",Underwood,"EPRI along with other corporations and companies, is conducting a study on impacts and ability of retrofitting advanced amine-based CO2 capture technology with current plants.",Coal Creek Station,Existing,1/1/2009,118,https://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/ccpi/lignite/Great-River-Energy--Coal-Creek-Station-Rnd-1-Projet-Presenta.pdf,FALSE,Plant in Operation,Active,Amines,Capture,% Reduction,1,2,3,4,5,1,80
Capture,Slipstream Development and Testing of Siemens POSTCAP Capture and Separation Technology,Florida,Capture,27.794879,-82.40066,Post-Combustion,"Siemens Energy, Inc.",United States,DOE Supported,", Florida",Tampa,"Design, install, and operate a pilot plant treating 2.5 MWe slipstream of flue gas.",Tampa Electric Company's Big Bend Station,Existing,10/1/2010,289,http://www.netl.doe.gov/research/coal/carbon-capture/post-combustion/siemens-postcap,FALSE,,Completed,Aqueous amino acid salt-based solvent,Capture,Tonnes per Day,1,2,3,4,5,1,50
Storage,Rangely-Webber EOR,Colorado,Storage,40.14480209,-108.9541397,,Chevron,United States,Other Support,", Colorado","Rangely, Rio Blanco County","Continued carbon dioxide flooding and drilling of more wells helps maintain production at 14,000 barrels a day. Cumulative production of 860 million barrels makes the field the most prolific in the Rocky Mountains in 2005.",LaBarge natural gas processing facility,Existing,1/1/1986,146,http://www.uwyo.edu/eori/_files/co2conference12/rory_rangelycasehistory.pdf,FALSE,Injection Ongoing,Active,,Storage,Tonnes per Day,1,2,3,4,5,1,"3,562"
Storage,Newark Basin Characterization of New York and New Jersey,New York and New Jersey,Storage,41.002159,-73.908508,,"Sandia Technologies, LLC",United States,DOE Supported,New York and New Jersey,,Goal is to characterize and assess the potential for storing large amounts of CO2 within the saline formations of the Newark Rift Basin.,,,12/8/2009,272,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/7--Philip-Papadeas.pdf,FALSE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,0
Capture & Storage,Searles Valley Minerals,California,Capture & Storage,35.759809,-117.376175,Post-Combustion,Searles Valley Minerals,United States,Other Support,", California",Trona,The CO2 is captured from the flue gas of a coal power plant.,Power Plant Capture,Existing,1/1/1978,241,http://www.zeroco2.no/projects/searles-valley-minerals,FALSE,Plant in Operation,Active,Amines,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,740
Storage,SWP Development Phase - Farnsworth Unit Ochiltree Project,Texas,Storage,36.260007,-101.009301,Separation,New Mexico Institute of Mining and Technology,United States,DOE Supported,", Texas",Ochiltree County,This project seeks to injection approximately 1 million tonnes of CO2 into the Morrow Sandstone (part of the Farnsworth Unit of the Anadarko Basin in northern Texas) for the purpose of EOR activities.,Arkalon Ethanol Plant and Agrium Fertilizer Plant,Existing,10/1/2007,294,http://www.netl.doe.gov/File%20Library/factsheets/project/NT42591.pdf,TRUE,Injection Ongoing,Active,Not currently specified,Storage,Tonnes Total,1,2,3,4,5,1,"1,000,000"
Capture & Storage,NRG Energy Inc. (Huntley IGCC Project),New York,Capture & Storage,43.017819,-78.88077,Pre-Combustion,NRG Energy Inc.,United States,Other Support,", New York",Tonawanda,NRG Energy planned to construct an IGCC plant in New York. The project was canceled in 2008.,Huntley IGCC,Planned,1/1/2013,136,http://media.corporate-ir.net/media_files/irol/12/121544/releases/071608.pdf,FALSE,Permitting,Terminated,Mitsubishi HI Gasification (KS-1),Capture & Storage,% Reduction,1,2,3,4,5,1,65
