State,State abbreviation,2016,2017,2018,2019,2020
Alabama,AL ,7.7,9.2,9.2,10.6,10.6
Alaska,AK,32.6,33.3,33.3,25,25
Arizona,AZ,10.7,11.8,11.8,10.6,10.6
Arkansas,AR,8,8.8,8.8,7,7
California,CA,40.3,47.2,47.2,49.6,49.6
Colorado,CO,22,23.4,23.4,24.4,24.4
Connecticut,CT,3.28,3.46,3.46,5,5
Delaware,DE,1.55,1.68,1.68,2.1,2.1
Florida,FL,2.16,2.53,2.53,4.8,4.8
Georgia,GA,6.5,7.9,7.9,8,8
Hawaii,HI,14.9,14.2,14.2,17.4,17.4
Idaho,ID,78.6,81.6,81.6,78.7,78.7
Illinois,IL,6.1,6.6,6.6,8.1,8.1
Indiana,IN,5.9,6,6,7.2,7.2
Iowa,IA,38.8,38.8,38.8,43.5,43.5
Kansas,KS,29.7,36.2,36.2,41.5,41.5
Kentucky,KY,4.87,6.9,6.9,6.4,6.4
Louisiana,LA,3.55,4.15,4.15,3.7,3.7
Maine,ME,63.6,75.9,75.9,83,83
Maryland,MD,7.3,9.8,9.8,10.2,10.2
Massachusetts,MA,9,10.5,10.5,18,18
Michigan,MI,7.8,8.3,8.3,7.8,7.8
Minnesota,MN,22.2,24.9,24.9,26.2,26.2
Mississippi,MS,2.37,2.6,2.6,2.6,2.6
Missouri,MO ,3.23,4.24,4.24,5.4,5.4
Montana,MT,43.8,45.1,45.1,44.1,44.1
Nebraska,NE,14.9,19.3,19.3,23.3,23.3
Nevada,NV,21.6,24.8,24.8,28.3,28.3
New Hampshire,NH,16.8,29.9,29.9,17.3,17.3
New Jersey,NJ,2.61,2.89,2.89,3.6,3.6
New Mexico,NM,13.9,17.7,17.7,24,24
New York,NY,24.6,27.8,27.8,28.1,28.1
North Carolina,NC,8.2,10.3,10.3,12.9,12.9
North Dakota,ND,26.6,31.8,31.8,34.8,34.8
Ohio,OH,2.19,2.48,2.48,2.6,2.6
Oklahoma,OK,28.6,36.1,36.1,37.1,37.1
Oregon,OR,70.9,76.3,76.3,62,62
Pennsylvania,PA,3.87,4.35,4.35,4.3,4.3
Rhode Island,RI,3.92,7.2,7.2,6.5,6.5
South Carolina,SC,4.93,5.9,5.9,5.1,5.1
South Dakota,SD,70.2,73.1,73.1,68.5,68.5
Tennessee,TN,10.7,11.2,11.2,12.8,12.8
Texas,TX,13.4,16,16,19,19
Utah,UT,8.3,11.6,11.6,11.4,11.4
Vermont,VT,99.8,99.6,99.6,99.9,99.9
Virginia,VA,6.1,6.4,6.4,5.9,5.9
Washington,WA,77.1,80,80,71.5,71.5
West Virginia,WV,3.76,4.6,4.6,5.5,5.5
Wisconsin,WI,8.3,9.3,9.3,8.1,8.1
Wyoming,WY,11.6,11.6,11.6,12.4,12.4
