State,State abbreviation,2016,2017,2018,2019,2020
Alabama,AL ,1638238.39,3190961.19,2562331.42,1087942.3,45036.31333
Alaska,AK,2247737.9,13756420.74,18211853.13,13715413.75,252202.9945
Arizona,AZ,2048406.88,1710324.61,522257.21,95189794.54,1412496.53
Arkansas,AR,3738751.11,2903596.65,80957675.18,61558493.25,810566.8263
California,CA,60022265.5,30727900.18,27711743.47,157057008.1,109158.7294
Colorado,CO,1784979.1,1192158.46,29804585.92,10631677.68,193474.9697
Connecticut,CT,1346296.8,872466.2,1642974.57,1460564.99,53707.97778
Delaware,DE,617292.5,1746023.75,727508.3,1564542.18,1310388.889
District of Columbia,DC,0,0,0,0,#DIV/0!
Florida,FL,4203599.92,1783933.63,49814852.87,53144784.21,270638.5922
Georgia,GA,20998508.97,3572590.29,8246661.92,2575790.53,122693.6826
Hawaii,HI,429107.65,1466708.78,5818219.45,329770.94,60728.89
Idaho,ID,1286745.56,975394.92,1163013.32,898911.06,29160
Illinois,IL,1325337.03,1262927.67,5157688.9,11324276.2,23370.19633
Indiana,IN,11401687.89,4052094.86,5707227.92,1595944.94,188124.1749
Iowa,IA,4220560.35,6397228.83,9018736.37,2911691.58,395995.9686
Kansas,KS,1312563.54,1340625.27,1008169.81,981378.82,67902.45625
Kentucky,KY,2894818.9,2548862.15,3349616.06,1321982.2,103352.9906
Louisiana,LA,1218952.75,1280645.17,749482.43,250831679.5,489980.005
Maine,ME,799460,2224741.89,2487247.89,1065768.38,41775.01927
Maryland,MD,1394350.35,6391729.57,2579807.46,1728849.38,57288.14286
Massachusetts,MA,835164.78,5853993.06,3362250.47,1920130.25,558861.2643
Michigan,MI,1293284.92,1262779.7,958035.14,2352787.13,62084.64386
Minnesota,MN,16792724.67,2692424.18,55113058.52,29700905.28,196177.5273
Mississippi,MS,97632558.92,3318290.81,5732385.89,4607851.05,39355.22828
Missouri,MO ,10977466.52,5998922.9,4620702.1,3765057.18,36655.88212
Montana,MT,2236540.73,1058766.56,2362999.23,665528.25,21410.07143
Nebraska,NE,3970434.27,3141511.58,3486852.62,1865828.63,151075.5541
Nevada,NV,52901.61,310986123.3,517592.85,187865.21,13418
New Hampshire,NH,3109907.63,1308645.59,634738.32,755111.31,44344.06318
New Jersey,NJ,733664.25,942553.2,849185.46,312046.58,52962.75
New Mexico,NM,1776894.45,5889437.92,831147.25,1502286,2495167.95
New York,NY,2396816.04,789554.55,13144835.08,30577699.9,408884.2963
North Carolina,NC,190492550.9,235514561.4,141884722,127403512.5,2189308.026
North Dakota,ND,497355.14,470849.27,484473.97,756832.5,38379.42105
Ohio,OH,775589.17,10306994.82,6167789.88,2838747.48,50129.90681
Oklahoma,OK,1880287.74,2806161.37,1804145.38,629846.69,112008.16
Oregon,OR,104124235.7,137234103.9,3249772.55,13340912.08,432377.5486
Pennsylvania,PA,2411199.59,2680331.65,10530409.63,2949587.12,53203.52053
Rhode Island,RI,489513.85,546892.3,668225.56,8836637.47,50981.79167
South Carolina,SC,22635085.68,68749146.66,65172523.88,53947685.81,6623225.1
South Dakota,SD,76031787.77,3223856.12,3829256.38,529557.52,290833.0117
Tennessee,TN,1102463.04,907498.52,4054255.06,7704269.47,45482.04429
Texas,TX,83600842.01,98101118.27,46412452.88,9791239.39,1067124.703
Utah,UT,607452.93,15435702.05,720368.92,431116.54,39684.57647
Vermont,VT,864619.2,4581086.54,494194.94,1122050.46,113075.8
Virginia,VA,853140.38,5764692.14,2735661.69,4195486.88,64135.12875
Washington,WA,2536968.61,6866207.93,2986028.52,18537740.74,42520.83085
West Virginia,WV,680048,741555.98,964510.05,927344.28,35090.95118
Wisconsin,WI,7774265.8,2620554.2,2145086.55,2884056.49,254803.3133
Wyoming,WY,1347834.34,410089.12,559264.4,534015.82,28311.125
