industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
48,12.305989244928845,27914064,58033.62062,140,176,83600842.01,13.4
33,10.36641873085687,27914064,58033.62062,140,176,83600842.01,13.4
46,10.015199574604194,27914064,58033.62062,140,176,83600842.01,13.4
29,12.488913405216472,27914064,58033.62062,140,176,83600842.01,13.4
28,10.930590233964436,27914064,58033.62062,140,176,83600842.01,13.4
28,10.582014679037277,27914064,58033.62062,140,176,83600842.01,13.4
9,13.524003692307563,27914064,58033.62062,140,176,83600842.01,13.4
9,13.010931803443096,27914064,58033.62062,140,176,83600842.01,13.4
9,12.136850019080143,27914064,58033.62062,140,176,83600842.01,13.4
9,12.265969944087631,27914064,58033.62062,140,176,83600842.01,13.4
9,13.048320203151178,27914064,58033.62062,140,176,83600842.01,13.4
9,12.785292873056664,27914064,58033.62062,140,176,83600842.01,13.4
29,10.67422423411732,27914064,58033.62062,140,176,83600842.01,13.4
29,10.070472096319845,27914064,58033.62062,140,176,83600842.01,13.4
9,10.779033786887059,27914064,58033.62062,140,176,83600842.01,13.4
34,12.160273640380929,27914064,58033.62062,140,176,83600842.01,13.4
29,10.983338611465339,27914064,58033.62062,140,176,83600842.01,13.4
29,10.143792284812475,27914064,58033.62062,140,176,83600842.01,13.4
9,11.227260929255133,27914064,58033.62062,140,176,83600842.01,13.4
48,11.107547853034163,27914064,58033.62062,140,176,83600842.01,13.4
8,10.206452273139904,27914064,58033.62062,140,176,83600842.01,13.4
32,10.685540722506916,27914064,58033.62062,140,176,83600842.01,13.4
29,10.51192229334223,27914064,58033.62062,140,176,83600842.01,13.4
9,10.827557150428373,27914064,58033.62062,140,176,83600842.01,13.4
9,10.926424692953365,27914064,58033.62062,140,176,83600842.01,13.4
34,10.984150172120158,27914064,58033.62062,140,176,83600842.01,13.4
9,13.281401779688375,27914064,58033.62062,140,176,83600842.01,13.4
28,13.301679067771513,27914064,58033.62062,140,176,83600842.01,13.4
48,12.421026754716257,27914064,58033.62062,140,176,83600842.01,13.4
16,10.188604162000075,27914064,58033.62062,140,176,83600842.01,13.4
28,12.269518967310114,27914064,58033.62062,140,176,83600842.01,13.4
29,10.355826195602047,27914064,58033.62062,140,176,83600842.01,13.4
48,11.32391458445495,27914064,58033.62062,140,176,83600842.01,13.4
28,10.609591628809012,27914064,58033.62062,140,176,83600842.01,13.4
28,10.486089019727842,27914064,58033.62062,140,176,83600842.01,13.4
9,13.361523574693964,27914064,58033.62062,140,176,83600842.01,13.4
9,12.197367364280979,27914064,58033.62062,140,176,83600842.01,13.4
9,13.183968788677737,27914064,58033.62062,140,176,83600842.01,13.4
9,11.487796767308582,27914064,58033.62062,140,176,83600842.01,13.4
9,14.700983039761313,27914064,58033.62062,140,176,83600842.01,13.4
32,11.462041497323371,27914064,58033.62062,140,176,83600842.01,13.4
28,13.626366574855302,27914064,58033.62062,140,176,83600842.01,13.4
9,11.579232228096073,27914064,58033.62062,140,176,83600842.01,13.4
9,10.455518015927833,27914064,58033.62062,140,176,83600842.01,13.4
46,9.736933197532748,27914064,58033.62062,140,176,83600842.01,13.4
32,10.662969608572649,27914064,58033.62062,140,176,83600842.01,13.4
48,10.39694827533527,27914064,58033.62062,140,176,83600842.01,13.4
34,10.522386828075282,27914064,58033.62062,140,176,83600842.01,13.4
32,10.818164903611137,27914064,58033.62062,140,176,83600842.01,13.4
46,10.467378986854328,27914064,58033.62062,140,176,83600842.01,13.4
29,10.294075475418584,27914064,58033.62062,140,176,83600842.01,13.4
28,11.099477397663522,27914064,58033.62062,140,176,83600842.01,13.4
