,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
1,1000112,23rd and 3rd,NY,40.663,-74.0,221112,Power Plants,60751.2
2,1013621,3Bear Libby Gas Plant,NM,32.540693,-103.522351,211130,Petroleum and Natural Gas Systems,39555.5
3,1003742,31st Street Landfill,IL,41.835129,-87.915924,562212,Waste,334.9
4,1003188,3M BROWNWOOD,TX,31.671177,-98.996513,326113,Minerals,29329.5
5,1005043,3M CO,MN,44.951,-92.9959,541715,Other,82223.0
6,1012037,50 Buttes Gas Plant,WY,43.760929,-105.785087,213112,Petroleum and Natural Gas Systems,70339.7
7,1003739,3M CO - GUIN,AL,33.96548,-87.89936,326113,Minerals,27055.6
8,1007698,3M CO - WAUSAU DOWNTOWN,WI,44.95018,-89.63766,212313,Other,46851.2
9,1004206,3M COMPANY,AL,34.641667,-87.038611,325211,"Chemicals,Industrial Gas Suppliers",42016.6
10,1006665,3M CORDOVA,IL,41.755,-90.284167,325998,"Chemicals,Industrial Gas Suppliers",28548.5
11,1004836,3M Cottage Grove Center - Site,MN,44.789444,-92.908333,325998,"Chemicals,Industrial Gas Suppliers,Minerals",32804.8
12,1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,34.708919,-92.239492,212399,Other,33689.5
13,1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,MN,44.879677,-94.359598,326199,Other,39580.2
14,1004804,3M NEVADA PLANT,MO,37.834476,-94.330625,326113,Other,31530.5
15,1013282,3M Pittsboro,NC,35.660546,-79.176782,327999,Minerals,25970.0
16,1001106,48th Street Peaking Station,MI,42.7553,-86.0853,221112,Power Plants,49110.8
18,1000766,59th Street,NY,40.7711,-73.9911,221330,Power Plants,149813.6
19,1007733,69TH ST WWTP,TX,29.75579,-95.29791,221320,Other,21708.2
20,1000767,74th Street,NY,40.768,-73.9515,221330,Power Plants,174717.2
21,1001033,A B Brown Generating Station,IN,37.9053,-87.715,221112,Power Plants,2367453.9
23,1013527,A.J. Mihm Generating Station,MI,46.793722,-88.616566,221112,Power Plants,123271.0
25,1002983,ABBOTT PARK FACILITY,IL,42.30227,-87.89065,424210,Other,54952.4
26,1007514,ABBVIE LTD.,PR,18.433237,-66.570509,325412,Chemicals,64300.0
27,1004511,ABC COKE,AL,33.580769,-86.781281,324199,Metals,171264.6
28,1005353,ABERDEEN ENERGY LLC,SD,45.442417,-98.787139,325193,Other,196750.0
29,1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,MD,39.395404,-76.30773,928110,Other,95626.4
30,1002627,ABSOLUTE ENERGY LLC,IA,43.49951,-92.91709,325193,"Other,Waste",142197.9
32,1002685,AC 857 A,TX,26.29555555,-94.89777777,211120,Petroleum and Natural Gas Systems,190343.9
33,1004761,ACE ETHANOL LLC,WI,44.9589,-90.9608,325193,"Other,Suppliers of CO2",69229.6
34,1005601,ACME BRICK CO ELGIN PLANT,TX,30.32903,-97.29207,327120,Minerals,26664.9
35,1005046,ACME GYPSUM FACILITY,TX,34.323944,-99.818194,327420,Minerals,39731.9
36,1002731,ADA COGENERATION,MI,42.955455,-85.479053,221112,Power Plants,85742.9
37,1003752,"ADA Carbon Solutions (Red River), LLC",LA,32.005405,-93.387829,325998,Chemicals,194415.1
38,1003422,ADKINS ENERGY LLC,IL,42.3586,-89.80342,325193,Other,86116.3
39,1002154,ADM - MANKATO,MN,44.186805,-93.995493,311225,Other,138951.6
40,1006047,ADM CORN PROCESSING,IA,41.9192,-91.6862,311221,"Other,Waste",2324242.1
41,1006208,ADM CORN PROCESSING,IA,41.8196,-90.2122,311221,"Other,Waste",2094574.3
42,1010610,ADM Deerfield,MO,37.80725,-94.585301,311224,Other,41522.1
43,1011855,ADM Fostoria,OH,41.1494,-83.43295,311224,Other,27748.8
44,1000376,ADM QUINCY,IL,39.903884,-91.410552,311224,Other,103977.0
45,1006080,ADM SOUTHERN CELLULOSE PROD.IN,TN,34.997921,-85.318581,322110,Pulp and Paper,26835.9
46,1000034,ADM SOYBEAN PROCESSING - DES MOINES,IA,41.626329,-93.583205,311224,Other,152702.2
47,1011961,ADM Valdosta,GA,30.8325,-83.248056,311224,Other,51831.7
53,1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WI,44.4093,-89.854855,562212,Waste,148.9
54,1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MO,39.73376,-92.53825,562212,Waste,70.9
56,1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,IL,42.14,-89.085,562212,Waste,62.1
57,1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,IL,39.822266,-89.043754,562212,Waste,83.6
58,1000627,ADVANSIX INC - CHESTERFIELD PLANT,VA,37.33963,-77.2884,325211,Other,57689.8
59,1000630,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,325199,"Chemicals,Suppliers of CO2",1180950.8
60,1005310,AES - PUERTO RICO COGENERATION PLANT,PR,17.9451,-66.1503,221112,Power Plants,3408333.5
61,1001444,AES Alamitos,CA,33.7688,-118.1009,221112,Power Plants,823063.2
62,1005972,AES HAWAII INC,HI,21.301222,-158.107306,221112,Power Plants,1176424.6
63,1001447,AES Huntington Beach,CA,33.6436,-117.9788,221112,Power Plants,516239.5
64,1001450,AES Redondo Beach,CA,33.8504,-118.395,221112,Power Plants,239600.5
65,1001223,AES Warrior Run,MD,39.5944,-78.7456,221112,"Power Plants,Suppliers of CO2",1108429.9
66,1003853,AFTON CHEMICAL CORP,IL,38.602631,-90.167496,324191,Petroleum and Natural Gas Systems,49992.1
67,1007551,AG Energy,NY,44.7258,-75.4417,221112,Power Plants,7322.0
68,1002069,AG PROCESSING INC,IA,43.09748,-94.65182,311224,Other,25369.7
69,1002070,AG PROCESSING INC A COOP-MANNING,IA,41.920794,-95.070791,311224,Other,20549.4
70,1006054,AG PROCESSING INC-EAGLE GROVE,IA,42.669167,-93.904444,311224,Other,66018.5
71,1002408,AG PROCESSING INC-SHELDON,IA,43.182248,-95.856177,311224,Other,27820.9
72,1002291,AG PROCESSING INCORPORATED A COOPERATIVE,MN,44.93265,-96.056491,311224,Other,38866.0
73,1007333,AGC FLAT GLASS N AMERICA INC,KY,37.70034,-84.26929,327211,Minerals,77543.0
74,1004631,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,KS,38.759188,-94.825252,327211,Minerals,101825.3
