,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
0,1004377,562212,Waste,504064.0,518680.25,653854.0,250497.5,221014.75,199011.75,241883.5,289953.25,204000.0,194000.0
4,1000112,221112,Power Plants,60819.7,44658.384,70705.288,52698.656,66797.352,67399.252,40722.2,102599.22,68984.744,100591.828
8,1003742,562212,Waste,100500.948,18925.4,31220.15,29026.8,120657.6,92696.6,120707.35,97467.5,87357.75,95113.25
12,1003188,326113,Minerals,29359.64,30571.636,34432.42,36202.264,31773.48,36754.712,36419.864,34821.82,33671.924,37149.36
13,1005043,541715,Other,82308.238,106258.176,104995.534,76595.41,79174.0,79440.076,81855.4,80335.194,72407.026,76373.372
14,1003739,326113,Minerals,27083.0,29770.94,28622.296,25133.956,18948.028,31694.636,33684.328,32082.184,31178.788,29977.592
15,1007698,212313,Other,46909.124,45435.226,40427.048,42620.94,36574.112,22926.664,26667.0,29429.54,27702.296,28388.544
16,1004206,325211,"Chemicals,Industrial Gas Suppliers",44016.264024,46652.134232,48998.483072,47331.524872,48267.93266,47000.287444,53024.89056,58214.7428,57279.4644,60442.67208
17,1006665,325998,"Chemicals,Industrial Gas Suppliers",657865.8974,766971.8816,723397.9932,713887.6054,697084.3049,889484.7437,1230363.0352,2289068.5036,1485532.2505,1380760.00524115
18,1004836,325998,"Chemicals,Industrial Gas Suppliers,Minerals",49540.272991,32126.480472,40325.9443,33796.9101,41687.8354,45416.31069,66306.62896,64664.1074,56198.97,73653.198
19,1003408,212399,Other,33733.426,30635.384,25541.604,29695.888,30646.084,24870.356,31188.932,28078.744,21306.22,22891.564
20,1004914,326199,Other,39621.3,39937.9,38917.952,37906.756,31373.332,36316.764,39453.852,37107.36,36169.064,39973.448
21,1004804,326113,Other,31562.832,33839.77,33196.276,30529.336,30263.836,31007.384,27259.448,29197.34,28930.992,30394.636
26,1004680,562212,Waste,63873.5,67620.0,71586.5,75785.5,80230.75,84936.75,89918.75,95193.0,100776.5,106687.75
27,1000766,221330,Power Plants,149968.982,224910.106,260405.936,218874.796,232873.708,238778.194,262718.648,206935.342,199034.55,265415.758
28,1007733,221320,Other,21730.668,24201.708,21834.068,22707.964,22362.816,26395.6,27184.248,26929.748,26822.848,25928.352
29,1000767,221330,Power Plants,174902.712,254385.114,270795.33,194944.188,205696.23,255020.78,272983.418,226196.74,148328.41,297071.804
30,1001033,221112,Power Plants,2386473.354,2789540.744,2741626.714,2172917.248,2315093.224,2663665.556,3143355.92,2556867.744,2538211.824,2270617.68
33,1006009,335313,Other,11023.8,15043.44,4468.8,6495.72,4550.88,10898.4,21637.2,70789.44,114.0,27106.92
35,1002983,424210,Other,55009.392,54130.096,54787.244,55489.192,55832.74,56777.334,64177.574,68720.94,58630.792,75805.464
36,1007514,325412,Chemicals,64383.468,86980.038,86045.7,82095.45,85474.85,95561.37,98333.766,106357.646,110110.44,116626.036
37,1004511,324199,Metals,171414.198,177086.876,176844.078,166390.22,161315.038,171606.494,201540.706,199654.2,214858.5,223890.3
39,1005353,325193,Other,196953.308,193369.872,194354.968,189764.636,189764.636,180568.92,174747.692,182302.264,172174.552,162005.144
40,1006971,928110,Other,95765.878,108122.626,106920.024,83575.72,80483.606,69918.52,54155.474,33282.086,40467.052,51104.972
42,1002627,325193,"Other,Waste",142519.35,140703.258,170171.848,177140.222,174562.492,178561.368,179161.664,180438.26,172951.432,167013.704
43,1002685,211120,Petroleum and Natural Gas Systems,195340.752,214992.532,214868.72,209376.546,265377.77,275627.372,229358.716,180859.878,175745.18,134678.516
44,1006529,562111,Waste,45082.5,53725.25,53049.5,52774.25,52502.75,51686.5,51001.0,50322.75,49691.0,47807.5
46,1004761,325193,"Other,Suppliers of CO2",69300.84,75591.916,73526.124,73406.124,74011.772,73115.024,75143.268,72119.23,71600.98,70091.236
47,1005601,327120,Minerals,26692.3,26165.752,27772.696,26481.6,55858.24,58615.68,29376.34,31235.332,24725.356,22273.0
48,1005046,327420,Minerals,39773.0,39610.7,38344.156,37790.608,39418.452,35616.516,34729.62,28972.14,28780.592,29403.14
49,1002731,221112,Power Plants,85831.676,81392.592,100988.82,95251.54,93656.996,94984.492,109183.288,100435.022,89412.964,108163.192
50,1003752,325998,Chemicals,194427.156,172184.88,197306.896,183758.036,220376.876,188762.668,143455.08,97533.63,126979.98,62533.968
51,1003422,325193,Other,86205.076,91352.056,84644.032,85443.128,80070.748,76422.312,74812.268,67654.596,65913.002,73368.674
52,1002154,311225,Other,139900.224,90584.588,129574.91,129892.802,138907.888,143286.47,138201.4,137337.738,96361.56,129094.78
53,1006047,311221,"Other,Waste",2338390.15,3071299.446,3008750.946,3053653.682,2952187.862,3048420.424,3022790.716,2916363.878,3233301.058,3018343.17
54,1006208,311221,"Other,Waste",2110774.534,2088384.04,2089938.928,1939935.277,2024063.47,2151829.934,2272580.96,2188314.938,2010290.49,2061252.446
58,1000376,311224,Other,104084.408,109506.606,102194.748,117650.22,131129.504,195047.938,152630.298,147569.168,164391.43,166895.286
59,1006080,322110,Pulp and Paper,26863.848,26210.152,31847.27,30339.624,28638.938,24860.4,24508.052,23341.412,25097.256,27081.248
60,1000034,311224,Other,153766.68,149818.092,155623.274,145234.284,150870.244,144115.254,141702.51,133350.86,142430.784,147019.712
