,Facility Id,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting 
0,1012156,7459.59,9775.942,42127.186,46091.872,46921.114
4,1012353,121503.954,63401.0,36639.172,31431.578,49090.544
6,1012154,295654.184,295182.282,289504.116,296458.094,302681.248
7,1012251,140333.81,238400.62,249598.018,207744.756,244379.684
8,1012248,118770.0,124295.19,154761.892,145125.584,205637.636
11,1012817,1415785.734,1289575.716,1410447.032,1875181.57,1817085.554
12,1012355,2815.798,2411.3,2364.8,3499.95,3616.55
13,1012357,66424.72,64153.018,61412.994,68654.982,115805.396
14,1012439,61094.49,73869.134,68652.464,64640.48,64371.076
19,1012714,46426.092,57094.9,56027.558,55330.746,59320.734
20,1012652,1507874.85,1330408.046,911389.328,711419.714,369513.598
23,1012584,259819.124,291361.712,370876.638,388378.662,386765.926
24,1012241,134659.542,116283.486,112082.9,110825.694,91414.292
27,1012861,45015.654,68025.366,64570.83,32114.112,32431.006
32,1012452,195950.924,179931.02,181892.328,218530.118,244969.526
34,1012748,1906.4,2606.9,2087.5,15823.612,28255.518
36,1012712,195057.398,141529.032,181685.564,215685.774,19447.144
37,1012826,525827.438,656334.546,663885.734,657149.106,473771.088
38,1012272,65807.872,42242.472,54931.446,68619.13,56895.362
39,1012713,29495.072,33764.372,47442.594,37372.274,53353.212
41,1012412,18980.436,21400.028,26311.512,43036.85,33949.242
42,1012800,57501.156,62937.032,66194.53,67560.93,89819.128
44,1012563,39067.124,45245.042,36179.466,30769.186,12077.0
45,1012532,70871.024,85043.416,63378.206,233006.902,20688.496
46,1012589,303111.138,194552.24,188622.316,131525.204,109835.472
50,1012729,130111.128,129459.734,40761.78,113178.248,132340.346
51,1012762,238726.868,214679.638,220811.922,357355.66,129324.324
52,1013712,37622.54,42436.282,38162.454,33324.03,29985.496
53,1012360,1032111.938,1033236.146,1310228.598,1498936.642,1624683.21
54,1012361,160583.302,136443.85,142521.834,166318.164,198138.584
58,1012348,244800.522,219337.42,256664.584,259890.972,268543.546
59,1012351,44272.474,40456.436,49373.174,45264.098,53651.734
60,1012742,340928.08,581212.728,420966.816,105569.194,134024.102
66,1012325,23207.296,25835.38,19595.764,61776.376,81587.916
67,1012257,28029.374,26934.622,22789.964,13139.862,25112.268
68,1012305,868083.51,735115.698,551692.258,164306.93,177147.944
69,1012311,26326.622,31559.46,34547.496,54185.68,36432.716
70,1012708,729591.06,860622.436,840801.972,712059.386,566520.78
71,1012146,178482.154,229050.918,219920.55,303110.344,350547.958
74,1012607,36943.266,35609.168,39675.456,37040.794,49079.104
75,1012672,73399.486,89070.288,85679.914,88125.144,117882.998
77,1012534,35465.95,41013.278,41060.328,31214.654,38046.178
78,1012157,921124.026,1128368.364,764001.814,687154.942,690021.602
79,1012230,130431.326,285634.328,331928.496,263746.764,265754.022
80,1012301,113307.77,278041.036,84990.346,73975.162,183540.156
82,1013004,20513.728,38652.762,36683.166,35464.72,31876.634
85,1011226,337042.472,368656.058,54729.698,41895.094,40113.052
86,1012209,205231.964,242448.05,329633.156,239985.654,319878.156
87,1012238,104424.644,125258.028,187756.564,105477.518,99519.804
88,1012240,297170.778,391309.848,464354.16,401649.654,429041.166
89,1012208,62772.34,122079.438,102380.422,109612.26,120595.922
90,1012207,1309900.916,1456688.548,1747992.556,1606661.76,1740507.972
91,1012204,1294850.198,1288383.876,1787144.82,1841402.672,1928560.366
93,1012214,638173.948,600197.266,673691.346,419390.62,460971.5
94,1012211,24878.146,31522.974,41821.438,25691.194,41655.888
97,1012555,26275.018,28646.666,30486.96,31041.354,29438.724
98,1013077,167520.982,114458.27,95120.686,71187.486,64762.97
100,1012445,69364.676,97480.74,165132.828,139401.246,184734.342
102,1012755,114284.588,122567.16,154990.176,151004.9,114868.15
103,1012718,158934.294,189914.672,227186.386,184933.6,180307.45
105,1012759,136047.896,136370.422,128476.19,136051.8,195053.65
106,1012763,45623.738,40012.314,35306.68,32396.45,33082.15
107,1012286,586373.688,560040.148,393099.864,377247.38,467228.45
108,1012464,25519.24,28317.432,32408.434,28641.686,33473.374
109,1012142,81165.704,91795.754,96004.238,96778.04,56731.038
110,1012486,75600.694,28042.802,34730.142,24363.136,28853.922
111,1012453,71120.526,41686.85,42058.75,41482.9,53706.926
112,1012438,1268.537432900005,10629.948249757437,46394.608,38202.19,32980.85
113,1012432,194285.80162829265,141716.0344422407,117141.402,116424.454,124267.554
114,1012455,60725.316787337564,57618.223322784324,56655.668,57106.758,63071.66
115,1012753,170429.244,176772.252,256870.234,248356.956,341373.674
116,1012736,52186.21,47440.712,87739.042,135496.29,197006.246
117,1012676,822909.102,1118689.054,688654.506,309993.344,170427.646
118,1012508,127422.328,142614.672,136762.848,128975.962,125765.326
119,1012491,295243.134,285358.716,281448.784,311592.98,219181.668
121,1012518,1112896.096,1350473.162,1122658.848,1281267.124,761873.33
122,1012533,87809.29,76759.23,80106.876,78284.89,101640.124
123,1012570,36454.622,53807.698,58978.288,78807.826,121907.51
124,1012591,383982.834,376693.276,419045.848,603787.274,675298.786
125,1012592,27722.492,31375.13,41903.054,46519.058,31504.204
128,1012711,19325.258,10754.406,20222.266,18964.326,47663.624
129,1012710,742903.61,703718.168,862450.606,510727.066,637900.656
132,1012796,153191.19,186435.608,146119.346,163420.402,158222.346
133,1012726,1347774.46,918016.404,715123.772,417649.69,348229.374
135,1012783,98072.322,100347.882,74271.47,91148.656,1305.25
136,1012628,328968.978,556152.51,630160.164,552910.148,2034697.248
137,1012623,84746.848,275051.262,206111.158,130439.026,51629.87
139,1012681,662028.492,629383.446,593930.632,446705.118,354130.494
140,1012467,232587.344,205709.468,139133.208,64306.322,34253.924
141,1012471,244179.64,252903.92,279957.356,237841.64,131601.862
