,Facility Id,2020 Total reported direct emissions from Local Distribution Companies,2019 Total reported direct emissions from Local Distribution Companies,2018 Total reported direct emissions from Local Distribution Companies,2017 Total reported direct emissions from Local Distribution Companies,2016 Total reported direct emissions from Local Distribution Companies,2015 Total reported direct emissions from Local Distribution Companies,2014 Total reported direct emissions from Local Distribution Companies,2013 Total reported direct emissions from Local Distribution Companies,2012 Total reported direct emissions from Local Distribution Companies,2011 Total reported direct emissions from Local Distribution Companies
0,1008026,74939.996,74762.846,99558.146,74961.1,73739.346,105051.594,75801.6,75662.2,75480.25,73414.44
1,1004034,14759.55,14674.95,13714.75,13668.5,13556.8,13459.2,13412.6,13353.6,13736.25,13271.75
4,1007872,165161.15,154525.296,156542.84,154795.438,151902.05,160923.894,155671.85,155513.8,191483.4,217658.9
5,1004794,17502.6,17942.6,17805.15,19464.15,24580.35,29139.35,18882.7,19471.9,19600.35,20646.1
6,1001388,24108.0,23137.65,22121.6,22788.75,16324.2,24407.15,16753.2,16375.6,16710.6,17343.65
7,1001389,25478.95,27025.0,27370.25,30600.05,28053.05,26994.25,29809.7,30628.7,26830.55,28797.4
8,1001390,50207.15,51808.9,51349.55,49683.65,49069.6,47793.25,45866.85,43786.45,44012.9,46549.85
9,1001391,47970.55,47282.4,50847.45,54417.15,59779.25,58274.45,35216.25,30123.45,29342.7,30446.35
10,1006887,17576.7,17258.55,17402.0,19005.65,21455.8,24466.0,19284.0,14359.6,17286.55,17795.9
11,1001398,759835.05,815356.7,831020.75,845425.4,846637.55,866271.5,505747.65,544204.0,700863.75,653694.5
12,1001402,2662.7,2655.7,2673.2,5633.3,2652.2,10709.9,2785.55,2734.95,2716.95,3712.0
14,1003050,15992.05,15892.85,15761.5,15614.8,15470.6,15347.75,15252.4,15198.8,15134.2,15112.45
15,1005477,191818.498,201594.248,210487.498,219695.848,230134.948,235128.85,240933.15,245613.3,249454.45,255597.2
17,1006762,374.75,375.25,440.6,416.75,368.0,368.0,368.0,307.25,365.75,221.7
20,1006604,164066.75,104075.8,97976.25,65689.0,61738.55,61305.3,60879.8,62274.2,67661.55,65322.55
26,1002481,348496.1,356606.55,367783.8,373891.85,389787.3,401374.45,410457.0,421408.5,428894.0,441508.2
27,1004115,210759.148,219555.546,230635.144,238464.596,246152.546,254505.596,259415.4,268611.1,317095.45,322590.15
29,1011331,600.2,668.9,689.55,690.9,561.1,0.0,0.0,0.0,0.0,0.0
32,1007941,1137.15,1123.9,1111.4,1114.0,1098.9,1081.4,1063.05,1053.55,1041.2,1028.2
33,1006297,84578.3,84898.45,85471.65,86344.65,89800.1,94936.8,99102.8,103079.0,113552.3,114576.4
34,1004047,15555.2,15531.45,23530.45,30500.55,33314.35,35230.9,37041.4,41653.45,44169.6,46127.05
35,1004195,19057.9,18606.65,19248.45,18955.3,19146.6,18985.65,18702.25,18767.6,18921.3,18398.6
36,1004090,1613.9,1608.65,2639.85,2491.5,2138.6,3698.5,4404.3,5683.55,6580.15,5927.1
37,1004198,18991.65,19279.95,18402.0,18358.75,18830.95,18629.9,19836.3,18617.05,19195.25,19066.25
38,1004049,19457.9,19371.05,18777.1,19038.4,19580.85,19453.4,20321.6,18513.7,18479.1,18104.45
39,1005925,162433.85,162218.05,172344.9,167435.85,166919.5,168276.6,168757.0,166132.05,166842.15,147447.65
40,1004086,69271.65,71782.9,72968.7,75336.05,78053.25,81369.25,85445.9,89185.95,93553.05,96760.0
41,1000011,19547.35,22126.4,23483.046,24903.3,26034.95,28628.3,33809.95,28696.0,34786.75,35610.0
43,1007572,7707.95,7825.65,7967.35,8086.7,10074.5,8118.7,8884.85,9824.5,11532.35,12029.4
44,1005550,5704.15,5434.5,5253.05,5101.85,5134.45,5175.7,5310.9,5008.6,5245.3,5524.1
45,1007448,1695.0,1898.3,2018.65,2197.6,2318.7,2581.35,2867.0,3494.7,3961.45,4293.45
47,1003491,6343.3,6319.15,6347.05,6319.6,6293.15,6307.7,6323.6,6254.5,6234.05,6234.3
48,1008498,3612.3,1287.85,1357.35,1308.85,1334.1,1524.4,1494.55,1601.65,1428.45,1439.7
49,1004063,1580.55,1574.8,1564.8,1554.55,31152.0,0.0,1228.0,1220.0,1360.0,1440.0
54,1010159,2111.25,2057.4,2030.55,2021.8,2007.3,1967.2,1923.55,1872.3,1854.45,1825.2
56,1008098,6647.0,6403.95,6356.7,6211.25,6167.15,6026.05,5535.8,4725.95,5656.15,5888.3
57,1007011,409.75,409.5,404.75,404.75,373.25,37.5,376.0,0.0,0.0,0.0
58,1002273,26230.85,27001.0,28411.05,29064.5,30147.05,31983.25,27920.5,30118.7,41196.35,49070.75
61,1005771,2167.25,2167.35,1812.95,1785.6,2000.65,1854.95,1802.85,1802.2,1441.95,1716.25
62,1007326,36151.25,37193.05,38885.05,40068.95,42499.25,43373.35,44661.35,47576.0,50120.1,52809.9
64,1007361,32927.85,34979.1,36241.35,37707.65,39100.35,40376.35,41475.15,42653.9,43755.1,45257.0
65,1003942,246119.8,257099.75,272042.25,285134.8,303079.448,321965.1,341569.998,359880.948,379875.75,400679.25
