,NAICS 1 Code,NAICS 1 Description
0,111110,Soybean Farming
1,111120,Oilseed (except Soybean) Farming
2,111130,Dry Pea and Bean Farming
3,111140,Wheat Farming
4,111150,Corn Farming
5,111160,Rice Farming
6,111199,All Other Grain Farming
7,111211,Potato Farming
8,111219,Other Vegetable (except Potato) and Melon Farming
9,111310,Orange Groves
10,111320,Citrus (except Orange) Groves
11,111331,Apple Orchards
12,111332,Grape Vineyards
13,111333,Strawberry Farming
14,111334,Berry (except Strawberry) Farming
15,111335,Tree Nut Farming
16,111336,Fruit and Tree Nut Combination Farming
17,111339,Other Noncitrus Fruit Farming
18,111411,Mushroom Production
19,111419,Other Food Crops Grown Under Cover
20,111421,Nursery and Tree Production
21,111422,Floriculture Production
22,111910,Tobacco Farming
23,111920,Cotton Farming
24,111930,Sugarcane Farming
25,111940,Hay Farming
26,111991,Sugar Beet Farming
27,111992,Peanut Farming
28,111998,All Other Miscellaneous Crop Farming
29,112111,Beef Cattle Ranching and Farming
30,112112,Cattle Feedlots
31,112120,Dairy Cattle and Milk Production
32,112210,Hog and Pig Farming
33,112310,Chicken Egg Production
34,112320,Broilers and Other Meat Type Chicken Production
35,112330,Turkey Production
36,112340,Poultry Hatcheries
37,112390,Other Poultry Production
38,112410,Sheep Farming
39,112420,Goat Farming
40,112511,Finfish Farming and Fish Hatcheries
41,112512,Shellfish Farming
42,112519,Other Aquaculture
43,112910,Apiculture
44,112920,Horses and Other Equine Production
45,112930,Fur-Bearing Animal and Rabbit Production
46,112990,All Other Animal Production
47,113110,Timber Tract Operations
48,113210,Forest Nurseries and Gathering of Forest Products
49,113310,Logging
50,114111,Finfish Fishing
51,114112,Shellfish Fishing
52,114119,Other Marine Fishing
53,114210,Hunting and Trapping
54,115111,Cotton Ginning
55,115112,"Soil Preparation, Planting, and Cultivating"
56,115113,"Crop Harvesting, Primarily by Machine"
57,115114,Postharvest Crop Activities (except Cotton Ginning)
58,115115,Farm Labor Contractors and Crew Leaders
59,115116,Farm Management Services
60,115210,Support Activities for Animal Production
61,115310,Support Activities for Forestry
62,211120,Crude Petroleum Extraction
63,211130,Natural Gas Extraction
64,212111,Bituminous Coal and Lignite Surface Mining
65,212112,Bituminous Coal Underground Mining
66,212113,Anthracite Mining
67,212210,Iron Ore Mining
68,212221,Gold Ore Mining
69,212222,Silver Ore Mining
70,212230,"Copper, Nickel, Lead, and Zinc Mining"
71,212291,Uranium-Radium-Vanadium Ore Mining
72,212299,All Other Metal Ore Mining
73,212311,Dimension Stone Mining and Quarrying
74,212312,Crushed and Broken Limestone Mining and Quarrying
75,212313,Crushed and Broken Granite Mining and Quarrying
76,212319,Other Crushed and Broken Stone Mining and Quarrying
77,212321,Construction Sand and Gravel Mining
78,212322,Industrial Sand Mining
79,212324,Kaolin and Ball Clay Mining
80,212325,Clay and Ceramic and Refractory Minerals Mining
81,212391,"Potash, Soda, and Borate Mineral Mining"
82,212392,Phosphate Rock Mining
83,212393,Other Chemical and Fertilizer Mineral Mining
84,212399,All Other Nonmetallic Mineral Mining
85,213111,Drilling Oil and Gas Wells
86,213112,Support Activities for Oil and Gas Operations
87,213113,Support Activities for Coal Mining
88,213114,Support Activities for Metal Mining
89,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
90,221111,Hydroelectric Power Generation
91,221112,Fossil Fuel Electric Power Generation
92,221113,Nuclear Electric Power Generation
93,221114,Solar Electric Power Generation
94,221115,Wind Electric Power Generation
95,221116,Geothermal Electric Power Generation
96,221117,Biomass Electric Power Generation
97,221118,Other Electric Power Generation
98,221121,Electric Bulk Power Transmission and Control
99,221122,Electric Power Distribution
100,221210,Natural Gas Distribution
101,221310,Water Supply and Irrigation Systems
102,221320,Sewage Treatment Facilities
103,221330,Steam and Air-Conditioning Supply
104,236115,New Single-Family Housing Construction (except For-Sale Builders)
105,236116,New Multifamily Housing Construction (except For-Sale Builders)
106,236117,New Housing For-Sale Builders
107,236118,Residential Remodelers
108,236210,Industrial Building Construction
109,236220,Commercial and Institutional Building Construction
110,237110,Water and Sewer Line and Related Structures Construction
111,237120,Oil and Gas Pipeline and Related Structures Construction
