,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
0,1000355,293919.042,330937.72,273069.722,242958.734,261382.84,354850.7,243116.642,163013.8,151519.07,17728.25
2,1009238,586008.596,678933.08,811064.85,767413.32,808767.966,747874.26,171273.574,63896.146,94675.778,148424.596
6,1009170,23735.104,76941.042,97345.036,67155.314,43942.41,42528.246,52433.886,62617.866,34844.106,40809.11
14,1009265,124278.886,215964.304,253819.352,136681.234,311050.436,328260.992,258855.004,188100.356,206799.244,243416.194
16,1008287,319410.352,356909.018,447672.782,406376.586,252802.366,353194.722,381235.414,357671.756,396990.192,392734.616
18,1009281,288651.938,334639.282,368280.778,349332.43,402104.536,547374.12,1062194.902,791734.17,226559.414,65451.136
19,1009276,54645.812,54343.214,78816.522,221400.294,210443.35,188286.7,135593.948,204624.762,220281.886,280102.866
20,1008289,428738.36,436885.218,441347.456,501431.448,494024.2,539760.19,499147.794,553615.534,731800.136,700990.432
22,1008290,517053.884,735790.076,676403.48,269530.824,355198.684,1951072.342,1073197.732,508022.914,551620.576,292748.384
29,1008622,378232.832,357229.178,431334.762,527676.48,937829.9,929804.558,830568.134,804376.79,716661.178,746531.676
33,1009076,1076366.59,1126149.108,1204716.792,1335105.636,1633541.602,1418584.802,1324080.918,1341704.792,1014237.582,1038792.08
35,1008499,12725.082,13570.822,18832.168,21156.97,19815.358,28318.686,33624.472,27096.472,24888.598,87678.662
49,1009862,28241.578,21850.966,24061.36,62609.654,56792.974,53026.572,77510.268,47961.678,126322.856,132826.576
51,1009845,56612.002,54794.454,56362.05,55926.452,56004.604,56066.39,35360.454,32923.714,107748.474,189536.586
60,1010183,366201.372,388889.532,382230.154,381565.266,329642.938,309155.256,424088.288,415414.248,516702.206,105916.95
68,1008224,40376.302,94850.758,84091.59,26892.2,48272.094,87194.43,148819.448,109369.498,113038.074,87706.768
69,1009391,512564.958,264941.676,237425.38,224093.774,161393.952,233427.612,357543.356,415901.446,831300.906,920656.86
71,1008937,130253.462,122764.534,82243.828,64890.742,103111.118,97517.592,115599.634,175063.152,183180.872,704800.896
76,1010205,374546.066,1091358.06,1292746.58,1203181.132,1090397.57,1343629.018,1105019.77,911113.382,880783.174,787392.388
79,1008795,23193.162,33041.304,33172.166,171809.878,20306.2,31046.598,19895.434,63610.39,49054.76,53508.942
94,1009732,79943.104,68772.614,52583.156,39077.48,35693.13,31492.28,38463.692,62996.466,63123.49,60325.7
95,1008548,19749.444,23148.242,23375.192,25422.39,16705.65,41724.65,46182.64,12719.936,16193.036,19292.036
100,1008492,53592.5,53577.5,95129.788,98420.434,68268.642,97391.88,233562.646,272526.838,324165.17,282086.482
101,1008632,821395.58,932235.916,611040.27,470279.794,611149.912,803741.976,195346.198,227180.764,128658.448,85080.56
102,1008630,299617.636,350889.98,282923.26,358728.61,464939.358,770238.902,854269.304,962769.33,488479.128,206809.826
103,1010319,12326.846,17551.944,18233.398,19106.648,26697.492,28016.892,36614.192,39395.792,38115.644,45702.142
104,1010157,52411.544,71346.686,89424.234,97116.486,98775.988,116397.484,124203.79,148539.888,212090.186,232207.286
117,1008576,607.15,639.7,600.1,31726.612,66263.3,32984.404,33278.132,49736.578,78287.61,28703.172
127,1008270,380154.532,536242.656,573001.696,683248.998,375558.852,644986.896,698674.04,846216.626,663919.954,539847.946
142,1008165,43180.248,45001.744,45317.644,41394.35,47900.548,66872.24,62688.048,96831.95,67200.65,92282.154
161,1009813,2485.848,11510.844,35636.194,85200.686,85646.332,89042.086,92553.476,60712.566,67465.25,58831.85
165,1010784,13360.504,24764.738,26682.888,16408.718,19421.964,63265.308,23394.69,179520.452,58259.028,58040.578
170,1008784,214.0,262.85,218.0,33282.746,39729.834,49992.82,182479.75,191224.79,42087.916,135100.55
171,1008783,230367.524,232165.932,216589.412,767658.24,565948.578,593175.378,366037.25,987228.766,373273.746,416004.806
172,1009707,1250032.472,1409171.27,1403345.644,1231787.596,2443822.828,1939559.5,375722.35,286073.4,289382.4,242592.2
176,1008472,450823.622,642824.16,897296.712,748677.076,679611.114,375363.734,299647.706,163185.986,289958.222,455978.634
177,1008471,1711594.22,3010593.896,2362287.802,1625650.358,1674608.056,1402187.238,1291886.08,683264.352,559697.236,1629774.786
181,1008503,219638.164,530869.938,428318.536,360368.52,287297.334,321847.042,189410.984,247815.76,901166.626,739900.89
184,1008296,256595.398,438230.098,537701.236,315794.09,69260.908,61521.246,59946.764,22078.2,124561.246,139471.33
186,1008405,4697.05,7019.85,11428.95,21221.648,46554.98,215535.676,220565.494,226970.816,280791.964,84156.904
188,1009728,180367.242,117845.62,342959.95,384423.348,412857.314,434412.342,294527.562,240897.52,145607.794,43192.138
198,1008523,283073.702,191767.076,171904.452,155480.93,124641.758,148065.402,215020.822,368074.72,449390.576,394866.244
201,1008526,1275834.226,1692275.992,1042170.464,1191797.062,844629.94,867805.928,1040799.854,1346026.744,872470.054,558994.894
202,1008527,83896.642,146681.274,171009.014,161186.348,205642.502,236545.974,227425.27,169838.608,202642.566,461430.208
203,1008528,22938.938,29902.524,0.0,2017.496,3113.428,463.346,50341.47,51151.502,76758.842,100076.51
206,1008530,263627.66,376195.366,405305.152,1130167.474,1178596.122,1830756.92,2218586.256,2050758.406,1457214.502,1459411.892
207,1008538,167030.088,342348.282,155825.47,84199.64,80492.796,86739.794,113676.352,166495.71,169077.97,92949.22
212,1009240,242499.538,431066.174,356139.686,331744.29,197188.856,263732.564,220590.896,190681.226,265403.388,330005.662
217,1009485,190482.518,150310.032,138138.64,128285.548,60734.158,55198.144,116112.04,74162.2,43381.212,21437.314
222,1008702,286714.128,389256.022,407363.586,375094.754,441574.942,504577.182,388243.738,338890.016,280128.382,318310.042
223,1008544,398700.758,741889.118,558189.134,556862.698,612324.396,802006.842,782577.376,649927.44,402940.64,135975.29
225,1008698,9896.346,25241.88,36476.922,54186.818,86672.2,105384.5,86159.354,85757.4,120376.084,118271.628
226,1008700,102981.892,164378.87,226272.492,170214.128,165682.15,251868.948,226011.896,210790.58,244523.192,173980.714
237,1008959,25655.35,25640.85,26009.748,76270.95,88086.148,87551.998,77560.242,71839.83,37062.57,31355.128
239,1009890,215177.064,260581.506,108080.918,88228.984,42532.716,56615.66,44740.376,50412.632,58339.536,95900.818
240,1009907,130177.552,155170.334,31056.982,28234.002,29800.03,33501.23,33399.732,36880.174,38777.672,45682.392
242,1008111,774972.764,844038.522,803758.296,842875.91,814428.744,800036.054,778668.334,758136.91,752250.59,810421.288
243,1007475,98853.89,107771.516,107092.922,112537.416,135538.054,136893.424,205224.69,202932.54,183416.336,189076.714
245,1007485,1298812.784,1278132.514,1178086.252,1100549.232,1020084.042,916012.862,1209204.87,1370641.6,1343862.494,979329.508
