,Facility Id,2020 Total reported direct emissions from Electrical Equipment Use,2019 Total reported direct emissions from Electrical Equipment Use,2018 Total reported direct emissions from Electrical Equipment Use,2017 Total reported direct emissions from Electrical Equipment Use,2016 Total reported direct emissions from Electrical Equipment Use,2015 Total reported direct emissions from Electrical Equipment Use,2014 Total reported direct emissions from Electrical Equipment Use,2013 Total reported direct emissions from Electrical Equipment Use,2012 Total reported direct emissions from Electrical Equipment Use,2011 Total reported direct emissions from Electrical Equipment Use
0,1003708,132693.72,172689.48,169844.04,197281.56,464030.16,148364.16,124825.44,134433.36,88826.52,123781.2
2,1010811,7644.84,8846.4,30171.24,9888.36,23251.44,10488.0,20241.84,28244.64,91298.04,11251.8
3,1010812,5264.52,10745.64,14706.0,20301.12,5180.16,5492.52,35928.24,13025.64,14322.96,31703.4
5,1010076,1810.32,2845.44,2152.32,1422.72,6037.44,2975.4,1876.44,7685.88,7986.84,6513.96
7,1009780,40777.8,9238.56,9482.52,14897.52,26454.84,54697.2,38876.28,14033.4,4190.64,36288.48
11,1010805,665.76,7683.6,9968.16,11598.36,6735.12,11105.88,1646.16,1304.16,8260.44,6600.6
18,1005611,26019.36,24890.76,25839.24,62456.04,34432.56,36557.52,33550.2,112561.32,73402.32,38999.4
21,1006158,64745.16,83274.72,74742.96,83147.04,106608.24,131804.52,165069.72,171688.56,179841.84,184180.68
24,1008343,24633.12,3625.2,1053.36,12389.52,34108.8,24295.68,9514.44,10212.12,11069.4,15451.56
27,1009507,12660.84,28584.36,20757.12,21324.84,26874.36,30314.88,35278.44,24405.12,11552.76,18278.76
29,1007204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1002040,29.64,0.0,567.72,1643.88,0.0,1035.12,1035.12,1035.12,6826.32,2275.44
38,1009685,249121.92,338520.72,255959.64,320859.84,399896.04,181387.68,299769.84,172326.96,216374.28,286543.56
39,1009540,8789.4,17674.56,12649.44,13812.24,44444.04,15266.88,32355.48,67271.4,70657.2,88381.92
41,1008769,1452.36,572.28,1210.68,401.28,6689.52,19685.52,3577.32,3219.36,3082.56,581.4
42,1001695,4092.6,9678.6,7487.52,19231.8,13983.24,14667.24,27802.32,24646.8,23287.92,20718.36
49,1009620,9993.24,58714.56,5761.56,33607.2,25355.88,27362.28,32173.08,50700.36,100753.2,62515.32
50,1003060,41040.0,152276.64,174575.04,62510.76,23837.4,17724.72,77027.52,97061.88,34797.36,68712.36
52,1009854,134540.52,114702.24,120555.0,115632.48,102839.4,110367.96,132438.36,145940.52,231926.16,346122.24
54,1001032,1525.32,1251.72,109.44,5016.0,3424.56,1162.8,-12989.16,5572.32,2553.6,4701.36
61,1010344,3600.12,7065.72,3549.96,3342.48,2966.28,6019.2,2802.12,0.0,661.2,857.28
66,1009726,9735.6,11222.16,0.0,6568.68,5627.04,401.28,20458.44,52257.6,23385.96,8508.96
67,1009725,39298.08,16785.36,17560.56,28828.32,6046.56,13871.52,20383.2,19457.52,21028.44,25907.64
73,1004001,182.4,0.0,166.44,134.52,143.64,262.2,180.12,253.08,0.0,310.08
74,1009894,23144.28,50365.2,20766.24,45182.76,43445.4,32339.52,25957.8,12980.04,2421.36,6495.72
75,1009765,37677.0,9313.8,22207.2,70511.28,56414.04,52654.32,95338.2,645.24,41527.92,21960.96
76,1009868,16721.52,16336.2,7884.24,11949.48,7200.24,1956.24,2829.48,10045.68,8458.8,21359.04
80,1009555,20460.72,14737.92,8732.4,6988.2,5750.16,17209.44,22275.6,6470.64,20330.76,33301.68
82,1009627,10560.96,18566.04,9227.16,15923.52,15271.44,21206.28,30914.52,23196.72,7405.44,17911.68
84,1001564,20.52,0.0,-1023.72,9.12,0.0,0.0,0.0,0.0,0.0,0.0
86,1010121,4986.36,37223.28,20004.72,592.8,55634.28,26021.64,47629.2,3983.16,16844.64,48244.8
87,1010049,9560.04,3777.96,5237.16,3242.16,262.2,5943.96,13695.96,24578.4,10996.44,20627.16
89,1009612,12068.04,12562.8,21671.4,12145.56,6044.28,10613.4,12063.48,9491.64,2615.16,3299.16
90,1009741,13816.8,12866.04,14986.44,10930.32,56548.56,29722.08,38668.8,28739.4,28739.4,36890.4
96,1009542,29838.36,58085.28,14183.88,17882.04,9131.4,45408.48,19886.16,13762.08,50093.88,34674.24
98,1007416,32902.68,43771.44,37975.68,12084.0,20583.84,23971.92,76931.76,27952.8,53390.76,31493.64
99,1008107,27054.48,21933.6,19808.64,2414.52,32360.04,38582.16,97741.32,66849.6,57946.2,80267.4
102,1000326,24345.84,34925.04,57191.52,43219.68,62371.68,78007.92,90335.88,86902.2,64904.76,63178.8
103,1010144,5538.12,15367.2,6014.64,2729.16,344.28,9094.92,26557.44,5627.04,5613.36,620.16
104,1009440,29047.2,6630.24,36990.72,35782.32,32606.28,19881.6,36521.04,16614.36,14626.2,13502.16
105,1009569,1251.72,6308.76,5152.8,2907.0,8709.6,16368.12,16333.92,27841.08,8894.28,42191.4
106,1010191,9742.44,15353.52,37202.76,29927.28,15317.04,30415.2,34307.16,58215.24,32772.72,25358.16
109,1009619,25203.12,19060.8,67244.04,89519.64,121435.08,69115.92,150350.04,157962.96,123357.12,168672.12
110,1009578,56607.84,35476.8,41598.6,14872.44,67419.6,35618.16,14829.12,62337.48,60233.04,66845.04
113,1009543,26922.24,11618.88,53281.32,46671.6,20045.76,16566.48,37385.16,18196.68,28924.08,9473.4
115,1010301,15561.0,5173.32,827.64,186.96,1974.48,19204.44,20333.04,12854.64,12270.96,3009.6
120,1003998,216.6,0.0,255.36,253.08,323.76,0.0,0.0,460.56,0.0,186.96
122,1000507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1009888,7334.76,9300.12,20697.84,24817.8,4099.44,43142.16,7223.04,6372.6,6919.8,18436.08
126,1000506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1010082,458.28,779.76,1124.04,1071.6,2455.56,3043.8,1662.12,1080.72,2138.64,355.68
130,1009784,574.56,1112.64,2836.32,1256.28,1468.32,1386.24,3333.36,2150.04,4240.8,269.04
131,1009787,151588.08,106095.24,212568.96,167935.68,152041.8,90657.36,107178.24,62262.24,64346.16,76108.68
132,1009585,67909.8,37998.48,89904.96,113015.04,78429.72,66097.2,71040.24,89975.64,86316.24,73897.08
139,1009537,126125.04,120917.52,36612.24,151332.72,75442.92,67166.52,81744.84,74353.08,64638.0,51306.84
141,1008733,35547.48,324988.92,117862.32,159324.12,117903.36,100908.24,86523.72,107577.24,206392.44,205327.68
142,1009645,4881.48,4466.52,3242.16,20766.24,7701.5771844,66386.2095168,76011.7848564,26992.92,100823.88,5047.92
143,1009439,4491.6,3930.72,280.44,348.84,1117.2,373.92,3100.8,4571.4,2181.96,3508.92
146,1009917,31128.84,6716.88,1995.0,3748.32,8258.16,31425.24,12494.4,4302.36,8385.84,11413.68
149,1008193,1176.48,66386.76,32733.96,11238.12,39952.44,17061.24,29877.12,19348.08,19261.44,75650.4
151,1010321,319.2,832.2,549.48,387.6,768.36,2432.76,841.32,1304.16,410.4,870.96
152,1009971,30973.8,38338.2,39900.0,42266.64,42845.76,53819.4,75670.92,43342.8,47759.16,116872.8
153,1010171,69218.52,6561.84,7765.68,10011.48,16092.24,42373.8,12147.84,92435.76,56632.92,18670.92
