fac_id,fac_name,state,latitude,longitude,naics,sector,emissions_2020,co2_emissions_2020,emissions_2010,co2_emissions_2010,max_capacity,fuel_type
1000112,23rd and 3rd,NY,40.66,-74,221112,Power Plants,60819.7,60751.2,82959.74,82875.9,7.4,Natural Gas
1003188,3M BROWNWOOD,TX,31.67,-99,326113,Minerals,29359.64,29329.5,36879.41,36841.6,32.0,Natural Gas
1005043,3M CO,MN,44.95,-93,541715,Other,82308.24,82223,75803.06,75737.3,223.0,Natural Gas
1003739,3M CO - GUIN,AL,33.97,-87.9,326113,Minerals,27083,27055.6,28750.0,28721.5,16.75,Natural Gas
1007698,3M CO - WAUSAU DOWNTOWN,WI,44.95,-89.64,212313,Other,46909.12,46851.2,26048.55,26021.7,60.0,Natural Gas
1004206,3M COMPANY,AL,34.64,-87.04,325211,"Chemicals,Industrial Gas Suppliers",44016.26,42016.6,50947.46,50894.3,122.6,Natural Gas
1006665,3M CORDOVA,IL,41.76,-90.28,325998,"Chemicals,Industrial Gas Suppliers",657865.9,28548.5,28987.89,28957.7,75.0,Petroleum Products
1004836,3M Cottage Grove Center - Site,MN,44.79,-92.91,325998,"Chemicals,Industrial Gas Suppliers,Minerals",49540.27,32804.8,44522.61,44423.2,120.0,Natural Gas
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,34.71,-92.24,212399,Other,33733.43,33689.5,28192.04,28163.0,70.0,Natural Gas
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,MN,44.88,-94.36,326199,Other,39621.3,39580.2,40697.0,40654.8,110.0,Natural Gas
1004804,3M NEVADA PLANT,MO,37.83,-94.33,326113,Other,31562.83,31530.5,29570.99,29540.3,37.0,Natural Gas
1001106,48th Street Peaking Station,MI,42.76,-86.09,221112,Power Plants,49160.67,49110.8,20080.08,20059.8,1.82,Natural Gas
1000766,59th Street,NY,40.77,-73.99,221330,Power Plants,149968.98,149813.6,271673.92,270998.8,220.0,Natural Gas
1007733,69TH ST WWTP,TX,29.76,-95.3,221320,Other,21730.67,21708.2,27213.55,27185.6,24.3,Natural Gas
1000767,74th Street,NY,40.77,-73.95,221330,Power Plants,174902.71,174717.2,387617.23,386312.1,223.0,Natural Gas
1002983,ABBOTT PARK FACILITY,IL,42.3,-87.89,424210,Other,55009.39,54952.4,105472.71,104824.4,100.0,Natural Gas
1007514,ABBVIE LTD.,PR,18.43,-66.57,325412,Chemicals,64383.47,64300,117314.53,116917.8,73.0,Natural Gas
1004511,ABC COKE,AL,33.58,-86.78,324199,Metals,171414.2,171264.6,208846.0,208821.0,204.0,Natural Gas
1005353,ABERDEEN ENERGY LLC,SD,45.44,-98.79,325193,Other,196953.31,196750,155379.76,155219.2,150.0,Natural Gas
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,MD,39.4,-76.31,928110,Other,95765.88,95626.4,54666.7,54571.6,73.1,Natural Gas
1002627,ABSOLUTE ENERGY LLC,IA,43.5,-92.92,325193,"Other,Waste",142519.35,142197.9,166627.56,166452.1,180.0,Natural Gas
1002685,AC 857 A,TX,26.3,-94.9,211120,Petroleum and Natural Gas Systems,195340.75,190343.9,54024.55,53920.4,249.36,Natural Gas
1004761,ACE ETHANOL LLC,WI,44.96,-90.96,325193,"Other,Suppliers of CO2",69300.84,69229.6,71980.03,71905.5,65.0,Natural Gas
1005601,ACME BRICK CO ELGIN PLANT,TX,30.33,-97.29,327120,Minerals,26692.3,26664.9,27547.0,27547.0,77.4,Natural Gas
1005046,ACME GYPSUM FACILITY,TX,34.32,-99.82,327420,Minerals,39773,39731.9,28163.04,28134.0,78.0,Natural Gas
1002731,ADA COGENERATION,MI,42.96,-85.48,221112,Power Plants,85831.68,85742.9,110926.43,110811.9,291.46,Natural Gas
1003422,ADKINS ENERGY LLC,IL,42.36,-89.8,325193,Other,86205.08,86116.3,67146.3,67076.7,90.7,Natural Gas
1002154,ADM - MANKATO,MN,44.19,-94,311225,Other,139900.22,138951.6,132818.33,131919.0,205.0,Natural Gas
1006047,ADM CORN PROCESSING,IA,41.92,-91.69,311221,"Other,Waste",2338390.15,2324242.1,3078133.06,3058765.0,472.0,Coal
1000376,ADM QUINCY,IL,39.9,-91.41,311224,Other,104084.41,103977,186738.51,185445.0,135.0,Natural Gas
1006080,ADM SOUTHERN CELLULOSE PROD.IN,TN,35,-85.32,322110,Pulp and Paper,26863.85,26835.9,28791.59,28762.0,48.5,Natural Gas
1000034,ADM SOYBEAN PROCESSING - DES MOINES,IA,41.63,-93.58,311224,Other,153766.68,152702.2,141764.54,140755.2,192.0,Coal
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WI,44.41,-89.85,562212,Waste,20077.15,148.9,25777.95,28.7,0.39,Petroleum Products
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MO,39.73,-92.54,562212,Waste,21802.7,70.9,95655.0,78.5,0.15,Petroleum Products
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,IL,42.14,-89.09,562212,Waste,192679.1,62.1,186317.8,57.8,0.332,Natural Gas
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,IL,39.82,-89.04,562212,Waste,33001.6,83.6,51653.7,46.2,0.656,Natural Gas
1000627,ADVANSIX INC - CHESTERFIELD PLANT,VA,37.34,-77.29,325211,Other,57749.83,57689.8,44297.47,44248.3,72.0,Natural Gas
1000630,ADVANSIX INCORPORATED - HOPEWELL,VA,37.18,-77.16,325199,"Chemicals,Suppliers of CO2",1181515.79,1180950.8,1071582.2,1070764.0,18.0,Natural Gas
1005310,AES - PUERTO RICO COGENERATION PLANT,PR,17.95,-66.15,221112,Power Plants,3431800.86,3408333.5,3284053.38,3257223.9,12.55,Petroleum Products
1001444,AES Alamitos,CA,33.77,-118.1,221112,Power Plants,823900,823063.2,540112.6,539564.6,70.8,Natural Gas
1005972,AES HAWAII INC,HI,21.3,-158.11,221112,Power Plants,1186453.74,1176424.6,1525932.5,1514070.5,5.0,Coal
1001447,AES Huntington Beach,CA,33.64,-117.98,221112,Power Plants,516763.94,516239.5,572232.33,571650.9,71.0,Natural Gas
1001223,AES Warrior Run,MD,39.59,-78.75,221112,"Power Plants,Suppliers of CO2",1117382.99,1108429.9,1426541.52,1415104.9,2.0,Coal
1003853,AFTON CHEMICAL CORP,IL,38.6,-90.17,324191,Petroleum and Natural Gas Systems,50044.16,49992.1,43235.54,43190.9,100.0,Natural Gas
1007551,AG Energy,NY,44.73,-75.44,221112,Power Plants,7329.67,7322,9711.9,9711.9,96.0,Natural Gas
1006054,AG PROCESSING INC-EAGLE GROVE,IA,42.67,-93.9,311224,Other,66086.45,66018.5,167119.05,165850.8,146.5,Coal
1002291,AG PROCESSING INCORPORATED A COOPERATIVE,MN,44.93,-96.06,311224,Other,38906,38866,25711.4,25684.5,91.3,Natural Gas
1007333,AGC FLAT GLASS N AMERICA INC,KY,37.7,-84.27,327211,Minerals,77596.45,77543,29466.3,29466.3,200.0,Natural Gas
1004631,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,KS,38.76,-94.83,327211,Minerals,101902.57,101825.3,100283.08,100208.0,200.0,Natural Gas
1005824,AGC-GREENLAND FLATGLASS PLANT,TN,36.5,-82.78,327211,Minerals,117946.72,117882.6,94350.15,94281.1,2.0,Petroleum Products
