Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Ferroalloy Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Zinc Production,Municipal Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.29857,-96.53586,562212,HH,Waste,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,N,N,N
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.663,-74,221112,"C,D",Power Plants,"82,959.74","82,875.90",38.25,45.59,,,,,,,,,,362.80,"82,596.94",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006394,,29-6 #2 Central Delivery Point,Blanco,NM,87412,,Rio Arriba,36.7452,-107.4455,213112,C (Abbr),Petroleum and Natural Gas Systems,"25,176.66","25,150.90",11.75,14.01,,,,,,,,,,"25,176.66",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002885,,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,,Rio Arriba,36.8118,-107.4036,213112,C (Abbr),Petroleum and Natural Gas Systems,"38,883.20","38,843.20",18.25,21.75,,,,,,,,,,"38,883.20",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002707,,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,Rio Arriba,36.8363,-107.4199,213112,C (Abbr),Petroleum and Natural Gas Systems,"63,884.36","63,818.60",30.00,35.76,,,,,,,,,,"63,884.36",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,DUPAGE,41.83491,-87.91633,562212,HH,Waste,"12,869.00",,"12,869.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,869.00",N,N,N
1002718,110043815725,32-7 Central Delivery Point,BLANCO,NM,87412,,SAN JUAN,36.9313,-107.5604,213112,C (Abbr),Petroleum and Natural Gas Systems,"56,478.59","56,420.50",26.50,31.59,,,,,,,,,,"56,478.59",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002721,110070081839,32-8 #2 CDP COMPRESSOR STATION,BLANCO,NM,87412,,SAN JUAN,36.9569,-107.6631,213112,C (Abbr),Petroleum and Natural Gas Systems,"55,075.09","55,018.10",26.00,30.99,,,,,,,,,,"55,075.09",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.671177,-98.996513,326113,"C,N",Minerals,"36,879.41","36,841.60",17.25,20.56,,,,,,,,,,"36,671.91",,,,,,,207.50,,,,,,,,,,,,,,,,,N,N,N
1005043,110035810799,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.951,-92.9959,541712,C,Other,"75,803.06","75,737.30",30.00,35.76,,,,,,,,,,"75,803.06",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION,33.96672,-87.899855,326113,"C,N",Minerals,"28,750.00","28,721.50",13.00,15.50,,,,,,,,,,"27,638.80",,,,,,,"1,111.20",,,,,,,,,,,,,,,,,N,N,N
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON,44.95018,-89.63766,212313,C,Other,"26,048.55","26,021.70",12.25,14.60,,,,,,,,,,"26,048.55",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004206,110000367567,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN,34.641667,-87.038611,325211,"C,OO","Industrial Gas Suppliers,Other","50,947.46","50,894.30",24.25,28.91,,,,,,,,,,"50,947.46",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND,41.755,-90.284167,325998,"C,OO","Chemicals,Industrial Gas Suppliers","28,987.89","28,957.70",13.50,16.69,,,,,,,,,,"28,987.89",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004836,110000423667,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON,44.789444,-92.908333,325998,"C,N,OO","Industrial Gas Suppliers,Minerals","44,522.61","44,423.20",41.00,58.41,,,,,,,,,"2,277.70","43,564.81",,,,,,,957.80,,,,,,,,,,,,,,,,,N,N,N
1003408,110040995199,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72216,3110 WALTERS DRIVE,PULASKI,34.708919,-92.239492,333120,C,Other,"28,192.04","28,163.00",13.25,15.79,,,,,,,,,,"28,192.04",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004914,110000425059,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.879677,-94.359598,322222,C,Pulp and Paper,"40,697.00","40,654.80",19.25,22.95,,,,,,,,,,"40,697.00",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON,37.83442,-94.330397,326113,C,Other,"29,570.99","29,540.30",14.00,16.69,,,,,,,,,,"29,570.99",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.7553,-86.0853,221112,"C,D",Power Plants,"20,080.08","20,059.80",9.25,11.03,,,,,,,,,,32.30,"20,047.78",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004680,110013945062,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.82621,-80.340819,562212,HH,Waste,"112,945.50",,"112,945.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,945.50",N,N,N
1000766,110019296509,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.7711,-73.9911,221330,C,Power Plants,"271,673.92","270,998.80",216.50,458.62,,,,,,,,,,"271,673.92",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007733,110041047505,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.75579,-95.29791,221320,C (Abbr),Other,"27,213.55","27,185.60",12.75,15.20,,,,,,,,,,"27,213.55",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000767,110019296527,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.768,-73.9515,221330,C,Power Plants,"387,617.23","386,312.10",385.50,919.63,,,,,,,,,,"387,617.23",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001033,110044891150,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.9053,-87.715,221112,D,Power Plants,"2,188,497.22","2,171,148.90","6,348.25","11,000.07",,,,,,,,,,,"2,188,497.22",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001607,110001245162,A B Paterson,NEW ORLEANS,LA,70126,5400 DWYER RD,Orleans,30.0158,-90.0258,221112,D,Power Plants,0.00,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005445,110000395938,AAP ST MARYS CORP,SAINT MARYS,OH,45885,1100 MCKINLEY RD.,AUGLAIZE COUNTY,40.55359,-84.3723,336399,C (Abbr),Other,"27,551.30","27,522.80",13.00,15.50,,,,,,,,,,"27,551.30",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002853,110017421226,ABBOTT NUTRITION,STURGIS,MI,49091,901 NORTH CENTERVILLE ROAD,ST. JOSEPH COUNTY,41.8095,-85.426,311514,C,Other,"27,764.02","27,694.20",27.50,42.32,,,,,,,,,,"27,764.02",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002983,110018042562,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE,42.30227,-87.89065,325412,C (Abbr),Chemicals,"105,472.71","104,824.40",239.75,408.56,,,,,,,,,,"105,472.71",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007514,110007806188,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA,18.433237,-66.570509,325411,C,Chemicals,"117,314.53","116,917.80",117.50,279.23,,,,,,,,,,"117,314.53",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004511,110000366817,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON,33.580769,-86.781281,331111,"C,Q",Metals,"208,846.00","208,821.00",25.00,,,,,,,,,,,"185,809.00",,,,,,,,,,"23,037.00",,,,,,,,,,,,,,N,N,N
1002047,110000428038,"ABE South Dakota, LLC - Aberdeen",Aberdeen,SD,57401,38469 133rd Street,BROWN COUNTY,45.459444,-98.5325,325193,C,Other,"79,648.24","79,564.90",37.75,45.59,,,,,,,,,238.10,"79,648.24",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002074,110024422622,"ABE South Dakota, LLC - Huron",HURON,SD,57350,694 W PARK AVE NW,BEADLE,44.374508,-98.253288,325193,C,Other,"4,568.73","4,563.80",2.25,2.68,,,,,,,,,,"4,568.73",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005353,110038367228,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS,45.442417,-98.787139,325193,C,Other,"155,379.76","155,219.20",73.25,87.31,,,,,,,,,,"155,379.76",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006971,110064337123,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.3954,-76.30773,928110,C (Abbr),Other,"54,666.70","54,571.60",35.50,59.60,,,,,,,,,,"54,666.70",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003091,110034769043,ABRAHAM COMPRESSOR STATION,CANADIAN,TX,79014,9835 US HWY 60,HEMPHILL,35.757778,-100.486433,211111,C (Abbr),Petroleum and Natural Gas Systems,"29,516.79","29,486.10",14.00,16.69,,,,,,,,,,"29,516.79",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002627,110027236621,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.49951,-92.91709,325193,C,Other,"166,627.56","166,452.10",79.50,95.96,,,,,,,,,643.30,"166,627.56",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002685,,AC 857 A,Offshore,TX,00000,,,26.29555555,-94.89777777,211111,C,Petroleum and Natural Gas Systems,"54,024.55","53,920.40",36.50,67.65,,,,,,,,,,"54,024.55",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
